Title,Runtime
Ford v Ferrari,2h 32m
One Battle After Another,
Marching Powder,
Harry Potter and the Goblet of Fire,2h 37m
Back in Action,1h 54m
The Hunger Games: Catching Fire,2h 26m
Star Wars: Episode IX - The Rise of Skywalker,2h 21m
Aliens,2h 17m
Jurassic World Dominion,2h 27m
Havoc,1h 25m
One of Them Days,1h 37m
Y2K,1h 31m
Hell or High Water,1h 42m
The Northman,2h 17m
One Flew Over the Cuckoo's Nest,2h 13m
Legend,2h 12m
Casablanca,1h 42m
Elevation,1h 31m
Predator,1h 47m
Just Go with It,1h 57m
The Thing,1h 49m
The Menu,1h 47m
The Shining,2h 26m
Independence Day,2h 25m
Superbad,1h 53m
The Super Mario Bros. Movie,1h 32m
Arrival,1h 56m
I Know What You Did Last Summer,1h 41m
Final Destination 2,1h 30m
Borderlands,1h 41m
Oddity,1h 38m
Wolfs,1h 48m
There's Something About Mary,1h 59m
The Beach,1h 59m
The Equalizer,2h 12m
Full Metal Jacket,1h 56m
Mission: Impossible - Ghost Protocol,2h 12m
Mob Land,1h 52m
Eddington,
American History X,1h 59m
Bonjour Tristesse,1h 50m
Beetlejuice Beetlejuice,1h 45m
The Big Lebowski,1h 57m
The Big Short,2h 10m
Cars,1h 56m
The Bikeriders,1h 56m
Blue Is the Warmest Colour,3h
Eternals,2h 36m
Nymphomaniac: Vol. I,1h 57m
Baby Driver,1h 53m
The Sixth Sense,1h 47m
Atonement,2h 3m
The Avengers,2h 23m
Asteroid City,1h 45m
Ocean's Eleven,1h 56m
Mulholland Drive,2h 27m
Troy,2h 43m
American Sniper,2h 13m
Braveheart,2h 58m
Vanilla Sky,2h 16m
The Grand Budapest Hotel,1h 39m
Captain America: The First Avenger,2h 4m
Challengers,2h 11m
Mission: Impossible II,2h 3m
The Lion King,1h 28m
Crimes of the Future,1h 47m
The Suicide Squad,2h 12m
Babylon,3h 9m
Paprika,1h 39m
Kill Bill: Vol. 1,1h 51m
The Hangover,1h 40m
La La Land,2h 8m
Kindergarten Cop,1h 51m
28 Weeks Later,1h 40m
Operation Fortune: Ruse de Guerre,1h 54m
Dead Poets Society,2h 8m
Napoleon Dynamite,1h 36m
The Devil's Advocate,2h 24m
Happy Gilmore,1h 32m
Lee,1h 57m
Pearl,1h 43m
Airplane!,1h 28m
Homestead,1h 52m
Ready Player One,2h 20m
Ready or Not,1h 35m
Malena,1h 48m
The Heartbreak Kid,1h 56m
Stand by Me,1h 29m
Reservoir Dogs,1h 39m
Star Trek: Section 31,1h 35m
Jumanji,1h 44m
Saltburn,2h 11m
Mission: Impossible III,2h 6m
Alita: Battle Angel,2h 2m
Culpa Mía,1h 57m
The Room Next Door,1h 47m
Manchester by the Sea,2h 17m
Court - State Vs. A Nobody,
The Equalizer 3,1h 49m
War of the Worlds,1h 57m
The Raid: Redemption,1h 41m
Almost Famous,2h 2m
The Fifth Element,2h 6m
Transformers,2h 24m
Black Panther: Wakanda Forever,2h 41m
Woman of the Hour,1h 35m
Tron: Legacy,2h 5m
Madame Web,1h 56m
Totally Killer,1h 46m
Smile,1h 55m
Harry Potter and the Deathly Hallows: Part 2,2h 10m
Interview with the Vampire,2h 3m
Final Destination 3,1h 33m
Black Swan,1h 48m
Constantine,2h 1m
Little Women,2h 15m
Idiocracy,1h 24m
Red Eye,1h 25m
Megan Is Missing,1h 25m
Nobody,1h 32m
Joker,2h 2m
The Karate Kid,2h 6m
Indiana Jones and the Temple of Doom,1h 58m
The Girl Next Door,1h 49m
1917,1h 59m
Grown Ups,1h 42m
The Voyeurs,1h 56m
Death Becomes Her,1h 44m
Avatar,2h 42m
Legally Blonde,1h 36m
EuroTrip,1h 32m
Fargo,1h 38m
Stargate,1h 56m
The Mummy,2h 4m
Dora and the Lost City of Gold,1h 42m
Clue,1h 34m
Once Upon a Time in America,3h 49m
The Gift,1h 48m
Rush,2h 3m
Avatar: The Way of Water,3h 12m
The Final Destination,1h 22m
Rebel Ridge,2h 11m
Bridget Jones: Mad About the Boy,2h 4m
The Comeback Trail,1h 44m
The Hateful Eight,2h 48m
2001: A Space Odyssey,2h 29m
The Covenant,2h 3m
True Grit,1h 50m
Memories of Murder,2h 12m
Tenet,2h 30m
Indiana Jones and the Dial of Destiny,2h 34m
Divergent,2h 19m
Hallow Road,
The Smashing Machine,1h 33m
Fruitvale Station,1h 25m
A Time to Kill,2h 29m
Prometheus,2h 4m
Casino,2h 58m
Joker: Folie à Deux,2h 18m
Uncle Buck,1h 40m
Unforgiven,2h 10m
Willow,2h 6m
Me Before You,1h 50m
500 Days of Summer,1h 35m
Scream,1h 51m
Us,1h 56m
The Secret Life of Walter Mitty,1h 54m
Mr. Nobody,2h 21m
Lilo & Stitch,1h 25m
Fast X,2h 21m
Frewaka,
Life Is Beautiful,1h 56m
Good Bad Ugly,
Knock Knock,1h 39m
Deadpool,1h 48m
Warrior,2h 20m
Final Destination 5,1h 32m
Promising Young Woman,1h 53m
Come and See,2h 22m
Downfall,2h 36m
Kingsman: The Golden Circle,2h 21m
Angels & Demons,2h 18m
Train to Busan,1h 58m
Brokeback Mountain,2h 14m
2073,1h 25m
Basic Instinct,2h 7m
The Great Gatsby,2h 23m
Zodiac,2h 37m
RoboCop,1h 42m
Kinds of Kindness,2h 44m
The Raid 2,2h 30m
Grown Ups 2,1h 41m
Pan's Labyrinth,1h 58m
The Intouchables,1h 52m
The Blue Lagoon,1h 44m
Minority Report,2h 25m
Apocalypto,2h 19m
A Different Man,1h 52m
Mamma Mia!,1h 48m
Glass Onion,2h 19m
Wind River,1h 47m
Costao,
Black Hawk Down,2h 24m
Love & Other Drugs,1h 52m
Homefront,1h 40m
About Time,2h 3m
Sisters,1h 58m
300,1h 57m
Starship Troopers,2h 9m
The Equalizer 2,2h 1m
Sneaks,1h 33m
The Conjuring,1h 52m
Captain America: The Winter Soldier,2h 16m
Love Hurts,1h 23m
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2h 23m
Home Alone,1h 43m
Jumanji: Welcome to the Jungle,1h 59m
A Clockwork Orange,2h 16m
Dunkirk,1h 46m
Alarum,1h 35m
We're the Millers,1h 50m
Drive,1h 40m
The Unholy Trinity,
Love Lies Bleeding,1h 44m
The Witch,1h 32m
A Knight's Tale,2h 12m
The Place Beyond the Pines,2h 20m
Transformers One,1h 44m
The Fugitive,2h 10m
21 Jump Street,1h 49m
Spider-Man: Into the Spider-Verse,1h 57m
Monty Python and the Holy Grail,1h 31m
Sixteen Candles,1h 33m
Platoon,2h
The Lord of the Rings: The Two Towers,2h 59m
Amadeus,2h 40m
"Three Billboards Outside Ebbing, Missouri",1h 55m
Mob Cops,1h 27m
The Hobbit: An Unexpected Journey,2h 49m
Point Break,2h 2m
Five Nights at Freddy's,1h 49m
Hacksaw Ridge,2h 19m
The Rose of Versailles,1h 53m
Inside Out 2,1h 36m
The Age of Adaline,1h 52m
Ratatouille,1h 51m
Thor: Ragnarok,2h 10m
Shallow Hal,1h 54m
Star Wars: Episode VIII - The Last Jedi,2h 32m
Landmine Goes Click,1h 45m
Jurassic World,2h 4m
Harry Potter and the Prisoner of Azkaban,2h 22m
Call Me by Your Name,2h 12m
The Game,2h 9m
Hidden Figures,2h 7m
Split,1h 57m
Y tu mamá también,
Martyrs,1h 39m
Here,1h 44m
If Only,1h 32m
Stardust,2h 7m
Popeye: The Slayer Man,1h 28m
Gunslingers,1h 44m
Unfaithful,2h 4m
Secretary,1h 47m
True Romance,1h 59m
Edge of Tomorrow,1h 53m
Total Recall,1h 53m
I Spit on Your Grave,1h 48m
Ex Machina,1h 48m
The Toxic Avenger,1h 42m
Once Upon a Time in the West,2h 46m
No Time to Die,2h 43m
Superman,2h 23m
The Ballad of Wallis Island,1h 39m
The Hunt,1h 55m
The Rule of Jenny Pen,1h 44m
Mission: Impossible - Rogue Nation,2h 11m
Horizon: An American Saga - Chapter 1,3h 1m
Sing,1h 48m
The Pianist,2h 30m
Creed,2h 13m
Grave of the Fireflies,1h 28m
Charlie and the Chocolate Factory,1h 55m
The Sound of Music,2h 52m
The Martian,2h 24m
Despicable Me 4,1h 34m
Old School,1h 28m
