Title,Actors
The Heartbreak Kid,Ben StillerMichelle MonaghanMalin Akerman
Stand by Me,Wil WheatonRiver PhoenixCorey Feldman
Reservoir Dogs,Harvey KeitelTim RothMichael Madsen
Star Trek: Section 31,Michelle YeohOmari HardwickSam Richardson
Jumanji,Robin WilliamsKirsten DunstBonnie Hunt
Saltburn,Barry KeoghanJacob ElordiRosamund Pike
Mission: Impossible III,Tom CruiseMichelle MonaghanVing Rhames
Alita: Battle Angel,Rosa SalazarChristoph WaltzJennifer Connelly
Culpa Mía,Nicole WallaceGabriel GuevaraMarta Hazas
The Room Next Door,Julianne MooreTilda SwintonJohn Turturro
Manchester by the Sea,Casey AffleckMichelle WilliamsKyle Chandler
Court - State Vs. A Nobody,Priyadarshi PulikondaHarsh RoshanRohini
The Equalizer 3,Denzel WashingtonDakota FanningEugenio Mastrandrea
War of the Worlds,Tom CruiseDakota FanningTim Robbins
The Raid: Redemption,Iko UwaisAnanda GeorgeRay Sahetapy
Almost Famous,Billy CrudupPatrick FugitKate Hudson
The Fifth Element,Bruce WillisMilla JovovichGary Oldman
Transformers,Shia LaBeoufMegan FoxJosh Duhamel
Black Panther: Wakanda Forever,Letitia WrightLupita Nyong'oDanai Gurira
Woman of the Hour,Anna KendrickDaniel ZovattoTony Hale
Tron: Legacy,Jeff BridgesGarrett HedlundOlivia Wilde
Madame Web,Dakota JohnsonSydney SweeneyIsabela Merced
Totally Killer,Kiernan ShipkaOlivia HoltCharlie Gillespie
Smile,Sosie BaconJessie T. UsherKyle Gallner
Harry Potter and the Deathly Hallows: Part 2,Daniel RadcliffeEmma WatsonRupert Grint
Interview with the Vampire,Brad PittTom CruiseAntonio Banderas
Final Destination 3,Mary Elizabeth WinsteadRyan MerrimanKris Lemche
Black Swan,Natalie PortmanMila KunisVincent Cassel
Constantine,Keanu ReevesRachel WeiszDjimon Hounsou
Little Women,Saoirse RonanEmma WatsonFlorence Pugh
Idiocracy,Luke WilsonMaya RudolphDax Shepard
Red Eye,Rachel McAdamsCillian MurphyBrian Cox
Megan Is Missing,Amber PerkinsRachel QuinnDean Waite
Nobody,Bob OdenkirkAleksey SerebryakovConnie Nielsen
Joker,Joaquin PhoenixRobert De NiroZazie Beetz
The Karate Kid,Ralph MacchioPat MoritaElisabeth Shue
Indiana Jones and the Temple of Doom,Harrison FordKate CapshawKe Huy Quan
The Girl Next Door,Emile HirschElisha CuthbertTimothy Olyphant
1917,Dean-Charles ChapmanGeorge MacKayDaniel Mays
Grown Ups,Adam SandlerSalma HayekKevin James
The Voyeurs,Sydney SweeneyJustice SmithBen Hardy
Death Becomes Her,Meryl StreepBruce WillisGoldie Hawn
Avatar,Sam WorthingtonZoe SaldañaSigourney Weaver
Legally Blonde,Reese WitherspoonLuke WilsonSelma Blair
EuroTrip,Scott MechlowiczJacob PittsMichelle Trachtenberg
Fargo,William H. MacyFrances McDormandSteve Buscemi
Stargate,Kurt RussellJames SpaderJaye Davidson
The Mummy,Brendan FraserRachel WeiszJohn Hannah
Dora and the Lost City of Gold,Isabela MercedEugenio DerbezMichael Peña
Clue,Eileen BrennanTim CurryMadeline Kahn
Once Upon a Time in America,Robert De NiroJames WoodsElizabeth McGovern
The Gift,Jason BatemanRebecca HallJoel Edgerton
Rush,Daniel BrühlChris HemsworthOlivia Wilde
Avatar: The Way of Water,Sam WorthingtonZoe SaldañaSigourney Weaver
The Final Destination,Nick ZanoKrista AllenAndrew Fiscella
Rebel Ridge,Aaron PierreDon JohnsonAnnaSophia Robb
Bridget Jones: Mad About the Boy,Renée ZellwegerChiwetel EjioforLeo Woodall
The Comeback Trail,Robert De NiroTommy Lee JonesMorgan Freeman
The Hateful Eight,Samuel L. JacksonKurt RussellJennifer Jason Leigh
2001: A Space Odyssey,Keir DulleaGary LockwoodWilliam Sylvester
The Covenant,Jake GyllenhaalDar SalimSean Sagar
True Grit,Jeff BridgesMatt DamonHailee Steinfeld
Memories of Murder,Song Kang-hoKim Sang-kyungKim Roe-ha
Tenet,John David WashingtonRobert PattinsonElizabeth Debicki
Indiana Jones and the Dial of Destiny,Harrison FordPhoebe Waller-BridgeAntonio Banderas
Divergent,Shailene WoodleyTheo JamesKate Winslet
Hallow Road,Rosamund PikeMatthew RhysMegan McDonnell
The Smashing Machine,
Fruitvale Station,Michael B. JordanMelonie DiazOctavia Spencer
A Time to Kill,Matthew McConaugheySandra BullockSamuel L. Jackson
Prometheus,Noomi RapaceLogan Marshall-GreenMichael Fassbender
Casino,Robert De NiroSharon StoneJoe Pesci
Joker: Folie à Deux,Joaquin PhoenixLady GagaBrendan Gleeson
Uncle Buck,John CandyMacaulay CulkinJean Louisa Kelly
Unforgiven,Clint EastwoodGene HackmanMorgan Freeman
Willow,Val KilmerJoanne WhalleyWarwick Davis
Me Before You,Emilia ClarkeSam ClaflinJanet McTeer
500 Days of Summer,Zooey DeschanelJoseph Gordon-LevittGeoffrey Arend
Scream,Neve CampbellCourteney CoxDavid Arquette
Us,Lupita Nyong'oWinston DukeElisabeth Moss
The Secret Life of Walter Mitty,Ben StillerKristen WiigJon Daly
Mr. Nobody,Jared LetoSarah PolleyDiane Kruger
Lilo & Stitch,Daveigh ChaseChris SandersTia Carrere
Fast X,Vin DieselMichelle RodriguezJason Statham
Frewaka,Clare MonnellyBríd Ní NeachtainAleksandra Bystrzhitskaya
Life Is Beautiful,Roberto BenigniNicoletta BraschiGiorgio Cantarini
Good Bad Ugly,Trisha KrishnanAjith KumarSimran
Knock Knock,Keanu ReevesLorenza IzzoAna de Armas
Deadpool,Ryan ReynoldsMorena BaccarinT.J. Miller
Warrior,Tom HardyNick NolteJoel Edgerton
Final Destination 5,Nicholas D'AgostoEmma BellArlen Escarpeta
Promising Young Woman,Carey MulliganBo BurnhamAlison Brie
Come and See,Aleksey KravchenkoOlga MironovaLiubomiras Laucevicius
Downfall,Bruno GanzAlexandra Maria LaraUlrich Matthes
Kingsman: The Golden Circle,Taron EgertonColin FirthMark Strong
Angels & Demons,Tom HanksEwan McGregorAyelet Zurer
Train to Busan,Gong YooJung Yu-miMa Dong-seok
Brokeback Mountain,Jake GyllenhaalHeath LedgerMichelle Williams
2073,Samantha MortonNaomi AckieNarendra Modi
Basic Instinct,Michael DouglasSharon StoneGeorge Dzundza
The Great Gatsby,Leonardo DiCaprioCarey MulliganJoel Edgerton
Zodiac,Jake GyllenhaalRobert Downey Jr.Mark Ruffalo
RoboCop,Peter WellerNancy AllenDan O'Herlihy
Kinds of Kindness,Emma StoneJesse PlemonsWillem Dafoe
The Raid 2,Iko UwaisYayan RuhianArifin Putra
Grown Ups 2,Adam SandlerKevin JamesChris Rock
Pan's Labyrinth,Ivana BaqueroAriadna GilSergi López
The Intouchables,François CluzetOmar SyAnne Le Ny
The Blue Lagoon,Brooke ShieldsChristopher AtkinsLeo McKern
Minority Report,Tom CruiseColin FarrellSamantha Morton
Apocalypto,Gerardo TaracenaRaoul Max TrujilloDalia Hernández
A Different Man,Sebastian StanRenate ReinsveAdam Pearson
Mamma Mia!,Meryl StreepPierce BrosnanAmanda Seyfried
Glass Onion,Daniel CraigEdward NortonKate Hudson
Wind River,Elizabeth OlsenJeremy RennerGraham Greene
Costao,Nawazuddin SiddiquiPriya BapatKishore Kumar G.
Black Hawk Down,Josh HartnettEwan McGregorTom Sizemore
Love & Other Drugs,Jake GyllenhaalAnne HathawayJudy Greer
Homefront,Jason StathamJames FrancoWinona Ryder
About Time,Domhnall GleesonRachel McAdamsBill Nighy
Sisters,Amy PoehlerTina FeyMaya Rudolph
300,Gerard ButlerLena HeadeyDavid Wenham
Starship Troopers,Casper Van DienDenise RichardsDina Meyer
The Equalizer 2,Denzel WashingtonPedro PascalAshton Sanders
Sneaks,Anthony MackieKeith DavidLaurence Fishburne
The Conjuring,Patrick WilsonVera FarmigaRon Livingston
Captain America: The Winter Soldier,Chris EvansSamuel L. JacksonScarlett Johansson
Love Hurts,Ke Huy QuanAriana DeBoseMustafa Shakir
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Tilda SwintonGeorgie HenleyWilliam Moseley
Home Alone,Macaulay CulkinJoe PesciDaniel Stern
Jumanji: Welcome to the Jungle,Dwayne JohnsonKaren GillanKevin Hart
A Clockwork Orange,Malcolm McDowellPatrick MageeMichael Bates
Dunkirk,Fionn WhiteheadBarry KeoghanMark Rylance
Alarum,Scott EastwoodSylvester StalloneWilla Fitzgerald
We're the Millers,Jason SudeikisJennifer AnistonEmma Roberts
Drive,Ryan GoslingCarey MulliganBryan Cranston
The Unholy Trinity,Pierce BrosnanSamuel L. JacksonBrandon Lessard
Love Lies Bleeding,Anna BaryshnikovKristen StewartDave Franco
The Witch,Anya Taylor-JoyRalph InesonKate Dickie
A Knight's Tale,Heath LedgerMark AddyRufus Sewell
The Place Beyond the Pines,Ryan GoslingBradley CooperEva Mendes
Transformers One,Chris HemsworthBrian Tyree HenryScarlett Johansson
The Fugitive,Harrison FordTommy Lee JonesSela Ward
21 Jump Street,Jonah HillChanning TatumIce Cube
Spider-Man: Into the Spider-Verse,Shameik MooreJake JohnsonHailee Steinfeld
Monty Python and the Holy Grail,Graham ChapmanJohn CleeseEric Idle
Sixteen Candles,Molly RingwaldAnthony Michael HallJustin Henry
Platoon,Charlie SheenTom BerengerWillem Dafoe
The Lord of the Rings: The Two Towers,Elijah WoodIan McKellenViggo Mortensen
Amadeus,F. Murray AbrahamTom HulceElizabeth Berridge
"Three Billboards Outside Ebbing, Missouri",Frances McDormandWoody HarrelsonSam Rockwell
Mob Cops,Kevin ConnollyDavid ArquetteEmelina Adams
The Hobbit: An Unexpected Journey,Martin FreemanIan McKellenRichard Armitage
Point Break,Patrick SwayzeKeanu ReevesGary Busey
Five Nights at Freddy's,Josh HutchersonPiper RubioElizabeth Lail
Hacksaw Ridge,Andrew GarfieldSam WorthingtonLuke Bracey
The Rose of Versailles,Miyuki SawashiroToshiyuki ToyonagaFelecia Angelle
Inside Out 2,Amy PoehlerMaya HawkeKensington Tallman
The Age of Adaline,Blake LivelyMichiel HuismanHarrison Ford
Ratatouille,Brad GarrettLou RomanoPatton Oswalt
Thor: Ragnarok,Chris HemsworthTom HiddlestonCate Blanchett
Shallow Hal,Jack BlackGwyneth PaltrowJason Alexander
Star Wars: Episode VIII - The Last Jedi,Daisy RidleyJohn BoyegaMark Hamill
Landmine Goes Click,Sterling KnightSpencer LockeKote Tolordava
Jurassic World,Chris PrattBryce Dallas HowardTy Simpkins
Harry Potter and the Prisoner of Azkaban,Daniel RadcliffeEmma WatsonRupert Grint
Call Me by Your Name,Timothée ChalametArmie HammerMichael Stuhlbarg
The Game,Michael DouglasDeborah Kara UngerSean Penn
Hidden Figures,Taraji P. HensonOctavia SpencerJanelle Monáe
Split,James McAvoyAnya Taylor-JoyHaley Lu Richardson
Y tu mamá también,Maribel VerdúGael García BernalDaniel Giménez Cacho
Martyrs,Morjana AlaouiMylène JampanoïCatherine Bégin
Here,Tom HanksRobin WrightPaul Bettany
If Only,Jennifer Love HewittPaul NichollsTom Wilkinson
Stardust,Charlie CoxClaire DanesSienna Miller
Popeye: The Slayer Man,Jason Robert StephensAngela RelucioSarah Nicklin
Gunslingers,Stephen DorffHeather GrahamNicolas Cage
Unfaithful,Richard GereDiane LaneOlivier Martinez
Secretary,James SpaderMaggie GyllenhaalJeremy Davies
True Romance,Christian SlaterPatricia ArquetteDennis Hopper
Edge of Tomorrow,Tom CruiseEmily BluntBill Paxton
Total Recall,Arnold SchwarzeneggerSharon StoneMichael Ironside
I Spit on Your Grave,Sarah ButlerJeff BransonAndrew Howard
Ex Machina,Alicia VikanderDomhnall GleesonOscar Isaac
The Toxic Avenger,Kevin BaconElijah WoodPeter Dinklage
Once Upon a Time in the West,Henry FondaCharles BronsonClaudia Cardinale
No Time to Die,Daniel CraigAna de ArmasRami Malek
Superman,Christopher ReeveMargot KidderGene Hackman
The Ballad of Wallis Island,Tom BasdenTim KeySian Clifford
The Hunt,Mads MikkelsenThomas Bo LarsenAnnika Wedderkopp
The Rule of Jenny Pen,Geoffrey RushNikki MacDonnellMaaka Pohatu
Mission: Impossible - Rogue Nation,Tom CruiseRebecca FergusonJeremy Renner
Horizon: An American Saga - Chapter 1,Kevin CostnerSienna MillerSam Worthington
Sing,Matthew McConaugheyReese WitherspoonSeth MacFarlane
The Pianist,Adrien BrodyThomas KretschmannFrank Finlay
Creed,Michael B. JordanSylvester StalloneTessa Thompson
Grave of the Fireflies,Tsutomu TatsumiAyano ShiraishiAkemi Yamaguchi
Charlie and the Chocolate Factory,Johnny DeppFreddie HighmoreDavid Kelly
The Sound of Music,Julie AndrewsChristopher PlummerEleanor Parker
The Martian,Matt DamonJessica ChastainKristen Wiig
Despicable Me 4,Steve CarellKristen WiigPierre Coffin
Old School,Luke WilsonVince VaughnWill Ferrell
White Chicks,Marlon WayansShawn WayansBusy Philipps
The Girl with the Dragon Tattoo,Daniel CraigRooney MaraChristopher Plummer
Terminator: Dark Fate,Linda HamiltonArnold SchwarzeneggerMackenzie Davis
Kids,Leo FitzpatrickJustin PierceChloë Sevigny
The Revenant,Leonardo DiCaprioTom HardyWill Poulter
The Family I Had,
The Predator,Boyd HolbrookTrevante RhodesJacob Tremblay
Poltergeist,JoBeth WilliamsHeather O'RourkeCraig T. Nelson
Lie with Me,Lauren Lee SmithEric BalfourPolly Shannon
Juliet & Romeo,Clara RugaardJamie WardJason Isaacs
Only the Brave,Josh BrolinMiles TellerJeff Bridges
Wrong Turn,Eliza DushkuJeremy SistoEmmanuelle Chriqui
The Wedding Banquet,Bowen YangLily GladstoneKelly Marie Tran
A Beautiful Mind,Russell CroweEd HarrisJennifer Connelly
Mid90s,Sunny SuljicKatherine WaterstonLucas Hedges
September 5,Peter SarsgaardJohn MagaroBen Chaplin
Fury,Brad PittShia LaBeoufLogan Lerman
The Perks of Being a Wallflower,Logan LermanEmma WatsonEzra Miller
Anatomy of a Fall,Sandra HüllerSwann ArlaudMilo Machado-Graner
Notting Hill,Hugh GrantJulia RobertsRichard McCabe
Don't Look Up,Leonardo DiCaprioJennifer LawrenceMeryl Streep
Free Guy,Ryan ReynoldsJodie ComerTaika Waititi
Sisu,Jorma TommilaAksel HennieJack Doolan
Avengers: Age of Ultron,Robert Downey Jr.Chris EvansMark Ruffalo
The General's Daughter,John TravoltaMadeleine StoweJames Cromwell
Moana,Auli'i CravalhoDwayne JohnsonRachel House
The Last Showgirl,Pamela AndersonBrenda SongKiernan Shipka
Your Name.,Ryûnosuke KamikiMone KamishiraishiRyo Narita
Home Sweet Home: Rebirth,
Harry Potter and the Chamber of Secrets,Daniel RadcliffeRupert GrintEmma Watson
Moneyball,Brad PittRobin WrightJonah Hill
A Dog's Way Home,Ashley JuddJonah Hauer-KingEdward James Olmos
Return to Silent Hill,Jeremy IrvineHannah Emily AndersonRobert Strange
Die Alone,Carrie-Anne MossDouglas SmithFrank Grillo
Scary Movie,Anna FarisJon AbrahamsMarlon Wayans
Deva,Pooja HegdeShahid KapoorMeenal Sahu
Princess Mononoke,Yôji MatsudaYuriko IshidaYûko Tanaka
Perfect Days,Kôji YakushoTokio EmotoArisa Nakano
Friday,Ice CubeChris TuckerNia Long
The Greatest Showman,Hugh JackmanMichelle WilliamsZac Efron
Nonnas,Vince VaughnLorraine BraccoTalia Shire
Uncut Gems,Adam SandlerJulia FoxIdina Menzel
Blue Velvet,Isabella RosselliniKyle MacLachlanDennis Hopper
Ferris Bueller's Day Off,Matthew BroderickAlan RuckMia Sara
"Good Luck to You, Leo Grande",Emma ThompsonDaryl McCormackIsabella Laughland
You're Cordially Invited,Will FerrellReese WitherspoonGeraldine Viswanathan
Harry Potter and the Order of the Phoenix,Daniel RadcliffeEmma WatsonRupert Grint
I Saw the TV Glow,Justice SmithJack HavenIan Foreman
Armageddon,Bruce WillisBilly Bob ThorntonBen Affleck
Psycho,Anthony PerkinsJanet LeighVera Miles
Wonka,Timothée ChalametGustave DieMurray McArthur
Men in Black,Tommy Lee JonesWill SmithLinda Fiorentino
The Da Vinci Code,Tom HanksAudrey TautouJean Reno
The Wizard of Oz,Judy GarlandFrank MorganRay Bolger
Chronicle,Dane DeHaanAlex RussellMichael B. Jordan
School of Rock,Jack BlackMike WhiteJoan Cusack
Bridge to Terabithia,Josh HutchersonAnnaSophia RobbZooey Deschanel
Ghosted,Chris EvansAna de ArmasAdrien Brody
Thor,Chris HemsworthAnthony HopkinsNatalie Portman
Trainspotting,Ewan McGregorEwen BremnerJonny Lee Miller
The Human Centipede (First Sequence),Dieter LaserWinter WilliamsAshlynn Yennie
Tremors,Kevin BaconFred WardFinn Carter
The Irishman,Robert De NiroAl PacinoJoe Pesci
Terrifier,Jenna KanellSamantha ScaffidiDavid Howard Thornton
Aftersun,Paul MescalFrankie CorioCelia Rowlson-Hall
Veera Dheera Sooran: Part 2,VikramDushara VijayanS.J. Suryah
Runaway Jury,John CusackRachel WeiszGene Hackman
The Hill,Dennis QuaidColin FordJoelle Carter
The Little Mermaid,Halle BaileyJonah Hauer-KingMelissa McCarthy
Captain America: Civil War,Chris EvansRobert Downey Jr.Scarlett Johansson
Cruel Intentions,Sarah Michelle GellarRyan PhillippeReese Witherspoon
The Faculty,Jordana BrewsterClea DuVallLaura Harris
It's a Mad Mad Mad Mad World,Spencer TracyMilton BerleEthel Merman
The Salt Path,Jason IsaacsGillian AndersonJames Lance
The Idea of You,Anne HathawayNicholas GalitzineElla Rubin
Shrek,Mike MyersEddie MurphyCameron Diaz
Lucky Baskhar,Dulquer SalmaanMeenaakshi ChaudharyTinnu Anand
The Cabin in the Woods,Kristen ConnollyChris HemsworthAnna Hutchison
The Last Stop in Yuma County,Jim CummingsFaizon LoveJocelin Donahue
The Gray Man,Ryan GoslingChris EvansAna de Armas
The Marvels,Brie LarsonTeyonah ParrisIman Vellani
Ne Zha 2,Yanting LüMo HanHao Chen
Cheech & Chong's Last Movie,
The Exorcist,Ellen BurstynMax von SydowLinda Blair
Children of Men,Julianne MooreClive OwenChiwetel Ejiofor
Eden Lake,Kelly ReillyMichael FassbenderTara Ellis
Shang-Chi and the Legend of the Ten Rings,Simu LiuAwkwafinaTony Leung Chiu-wai
Amélie,Audrey TautouMathieu KassovitzRufus
Jojo Rabbit,Roman Griffin DavisThomasin McKenzieScarlett Johansson
Into the Wild,Emile HirschVince VaughnCatherine Keener
The Ritual,Al PacinoDan StevensAshley Greene
Nickel Boys,Ethan HerisseBrandon WilsonAunjanue Ellis-Taylor
Draft Day,Kevin CostnerChadwick BosemanJennifer Garner
Dracula,Gary OldmanWinona RyderAnthony Hopkins
Meet Joe Black,Brad PittAnthony HopkinsClaire Forlani
Black Adam,Dwayne JohnsonAldis HodgePierce Brosnan
Desire,Déborah RévyHélène ZimmerGowan Didi
Uncharted,Tom HollandMark WahlbergAntonio Banderas
Palm Springs,Andy SambergCristin MiliotiJ.K. Simmons
Kung Fu Panda,Jack BlackIan McShaneAngelina Jolie
The Social Network,Jesse EisenbergAndrew GarfieldJustin Timberlake
Office Space,Ron LivingstonJennifer AnistonDavid Herman
The Tomorrow War,Chris PrattYvonne StrahovskiJ.K. Simmons
A Serbian Film,Srdjan 'Zika' TodorovicSergej TrifunovicJelena Gavrilovic
Fresh,Daisy Edgar-JonesSebastian StanJojo T. Gibbs
Salem's Lot,Lewis PullmanMakenzie LeighJordan Preston Carter
The Holdovers,Paul GiamattiDa'Vine Joy RandolphDominic Sessa
Boogie Nights,Mark WahlbergJulianne MooreBurt Reynolds
Pretty Woman,Richard GereJulia RobertsJason Alexander
Doctor Strange in the Multiverse of Madness,Benedict CumberbatchElizabeth OlsenChiwetel Ejiofor
The Mask,Jim CarreyCameron DiazPeter Riegert
The Incredible Hulk,Edward NortonLiv TylerTim Roth
The Sandlot,Tom GuiryMike VitarArt LaFleur
Booksmart,Kaitlyn DeverBeanie FeldsteinJessica Williams
The Expendables 4,Jason Statham50 CentMegan Fox
The Zone of Interest,Christian FriedelSandra HüllerJohann Karthaus
V for Vendetta,Hugo WeavingNatalie PortmanRupert Graves
Scent of a Woman,Al PacinoChris O'DonnellJames Rebhorn
Beetlejuice,Alec BaldwinGeena DavisMichael Keaton
Passengers,Jennifer LawrenceChris PrattMichael Sheen
Carrie,Sissy SpacekPiper LaurieAmy Irving
Marked Men,Alexander LudwigChase StokesNatalie Alyn Lind
The Fast and the Furious,Vin DieselPaul WalkerMichelle Rodriguez
The Virgin Suicides,Kirsten DunstJosh HartnettJames Woods
Sing Sing,Colman DomingoClarence MaclinSean San Jose
The Whale,Brendan FraserSadie SinkTy Simpkins
The Naked Gun: From the Files of Police Squad!,Leslie NielsenPriscilla PresleyO.J. Simpson
The Hunt,Betty GilpinHilary SwankIke Barinholtz
Lucy,Scarlett JohanssonMorgan FreemanChoi Min-sik
In a Violent Nature,Ry BarrettAndrea PavlovicCameron Love
Casino Royale,Daniel CraigEva GreenJudi Dench
Predestination,Ethan HawkeSarah SnookNoah Taylor
Easy A,Emma StoneAmanda BynesPenn Badgley
Sacramento,Michael AngaranoMaya ErskineMichael Cera
The Last Voyage of the Demeter,Corey HawkinsAisling FranciosiLiam Cunningham
My Cousin Vinny,Joe PesciMarisa TomeiRalph Macchio
Howl's Moving Castle,Chieko BaishôTakuya KimuraTatsuya Gashûin
The Devil Wears Prada,Anne HathawayMeryl StreepAdrian Grenier
Bad Boys: Ride or Die,Will SmithMartin LawrenceVanessa Hudgens
Spaceballs,Mel BrooksJohn CandyRick Moranis
Emmanuelle,Noémie MerlantWill SharpeJamie Campbell Bower
Solo: A Star Wars Story,Alden EhrenreichWoody HarrelsonEmilia Clarke
Venom,Tom HardyMichelle WilliamsRiz Ahmed
Beauty and the Beast,Emma WatsonDan StevensLuke Evans
Love Actually,Hugh GrantMartine McCutcheonLiam Neeson
All Quiet on the Western Front,Felix KammererAlbrecht SchuchAaron Hilmer
The Lighthouse,Robert PattinsonWillem DafoeValeriia Karaman
E.T. the Extra-Terrestrial,Henry ThomasDrew BarrymorePeter Coyote
Alien: Covenant,Michael FassbenderKatherine WaterstonBilly Crudup
Zootopia,Ginnifer GoodwinJason BatemanIdris Elba
Gangs of New York,Leonardo DiCaprioCameron DiazDaniel Day-Lewis
The Day the Earth Blew Up: A Looney Tunes Movie,Eric BauzaCandi MiloPeter MacNicol
Sicario: Day of the Soldado,Benicio Del ToroJosh BrolinIsabela Merced
A Few Good Men,Tom CruiseJack NicholsonDemi Moore
M3GAN,Allison WilliamsViolet McGrawRonny Chieng
Police Academy,Steve GuttenbergG.W. BaileyKim Cattrall
The Six Triple Eight,Kerry WashingtonEbony ObsidianMilauna Jackson
Nightcrawler,Jake GyllenhaalRene RussoBill Paxton
The Imitation Game,Benedict CumberbatchKeira KnightleyMatthew Goode
The Lives of Others,Ulrich MüheMartina GedeckSebastian Koch
All of Us Strangers,Andrew ScottPaul MescalCarter John Grout
The Last Duel,Matt DamonAdam DriverJodie Comer
Jack Reacher,Tom CruiseRosamund PikeRichard Jenkins
The Killer,Michael FassbenderTilda SwintonCharles Parnell
The Incredibles,Craig T. NelsonSamuel L. JacksonHolly Hunter
Borderline,Samara WeavingRay NicholsonEric Dane
Les Misérables,Hugh JackmanRussell CroweAnne Hathaway
Scott Pilgrim vs. the World,Michael CeraMary Elizabeth WinsteadKieran Culkin
Dune,Kyle MacLachlanVirginia MadsenFrancesca Annis
My Old Ass,Maisy StellaAubrey PlazaPercy Hynes White
The Deer Hunter,Robert De NiroChristopher WalkenJohn Cazale
Fantastic Four,Ioan GruffuddMichael ChiklisChris Evans
Baywatch,Dwayne JohnsonZac EfronAlexandra Daddario
X-Men,Patrick StewartHugh JackmanIan McKellen
Die Hard,Bruce WillisAlan RickmanBonnie Bedelia
Speed,Keanu ReevesDennis HopperSandra Bullock
Late Night with the Devil,David DastmalchianLaura GordonIan Bliss
The Last of the Mohicans,Daniel Day-LewisMadeleine StoweRussell Means
Spotlight,Mark RuffaloMichael KeatonRachel McAdams
Dead Mail,Sterling Macer Jr.John FleckMicki Jackson
The Boy and the Heron,Soma SantokiMasaki SudaKô Shibasaki
L.A. Confidential,Kevin SpaceyRussell CroweGuy Pearce
Shazam! Fury of the Gods,Zachary LeviAsher AngelJack Dylan Grazer
Ant-Man and the Wasp,Paul RuddEvangeline LillyMichael Peña
Triangle of Sadness,Thobias ThorwidHarris DickinsonCharlbi Dean
West Side Story,Ansel ElgortRachel ZeglerAriana DeBose
Bad Times at the El Royale,Jeff BridgesCynthia ErivoDakota Johnson
Argylle,Henry CavillBryce Dallas HowardSam Rockwell
Training Day,Denzel WashingtonEthan HawkeScott Glenn
Summer of 69,Natalie MoralesCharlie DayJillian Bell
The Patriot,Mel GibsonHeath LedgerJoely Richardson
MadS,Lucille GuillaumeLaurie PavyMilton Riche
Crazy Rich Asians,Constance WuHenry GoldingMichelle Yeoh
Hot Tub Time Machine,John CusackRob CorddryCraig Robinson
3 Idiots,Aamir KhanMadhavanMona Singh
Logan,Hugh JackmanPatrick StewartDafne Keen
Coco,Anthony GonzalezGael García BernalBenjamin Bratt
Emilia Pérez,Zoe SaldañaKarla Sofía GascónSelena Gomez
Toy Story,Tom HanksTim AllenDon Rickles
Survive,Émilie DequenneAndreas PietschmannLisa Delamar
The King's Man,Ralph FiennesGemma ArtertonRhys Ifans
For Your Eyes Only,Roger MooreCarole BouquetTopol
The Nice Guys,Russell CroweRyan GoslingAngourie Rice
The Maze Runner,Dylan O'BrienKaya ScodelarioWill Poulter
Caddo Lake,Dylan O'BrienEliza ScanlenCaroline Falk
Coherence,Emily BaldoniMaury SterlingNicholas Brendon
The Lost World: Jurassic Park,Jeff GoldblumJulianne MoorePete Postlethwaite
Spider-Man: Homecoming,Tom HollandMichael KeatonRobert Downey Jr.
,
Shooter,Mark WahlbergMichael PeñaRhona Mitra
Ghostbusters,Bill MurrayDan AykroydSigourney Weaver
How to Make Millions Before Grandma Dies,Putthipong AssaratanakulUsha SeamkhumSanya Kunakorn
Bring It On,Kirsten DunstEliza DushkuJesse Bradford
Event Horizon,Laurence FishburneSam NeillKathleen Quinlan
Transformers: The Last Knight,Mark WahlbergAnthony HopkinsJosh Duhamel
Frozen,Kristen BellIdina MenzelJonathan Groff
Good Boy,Larry FessendenArielle FriedmanIndy
The Lost Boys,Jason PatricCorey HaimDianne Wiest
After,Josephine LangfordHero Fiennes TiffinKhadijha Red Thunder
Van Helsing,Hugh JackmanKate BeckinsaleRichard Roxburgh
Puss in Boots: The Last Wish,Antonio BanderasSalma HayekHarvey Guillén
The Wedding Singer,Adam SandlerDrew BarrymoreChristine Taylor
The Magnificent Seven,Denzel WashingtonChris PrattEthan Hawke
A Quiet Place: Day One,Lupita Nyong'oJoseph QuinnAlex Wolff
Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write About a Serial Killer,Britt LowerSteve BuscemiJohn Magaro
Taken,Liam NeesonMaggie GraceFamke Janssen
Man of Steel,Henry CavillAmy AdamsMichael Shannon
Wifelike,Jonathan Rhys MeyersElena KampourisDoron Bell
Beautiful Boy,Steve CarellMaura TierneyJack Dylan Grazer
IF,Cailey FlemingRyan ReynoldsJohn Krasinski
Sense and Sensibility,Emma ThompsonKate WinsletJames Fleet
The Parent Trap,Lindsay LohanDennis QuaidNatasha Richardson
Finding Nemo,Albert BrooksEllen DeGeneresAlexander Gould
Iron Man 2,Robert Downey Jr.Mickey RourkeGwyneth Paltrow
Cinderella,Lily JamesCate BlanchettRichard Madden
Kneecap,Móglaí BapMo CharaDJ Próvai
Little Miss Sunshine,Steve CarellToni ColletteGreg Kinnear
Star Trek,Chris PineZachary QuintoSimon Pegg
Hook,Dustin HoffmanRobin WilliamsJulia Roberts
2012,John CusackThandiwe NewtonChiwetel Ejiofor
