Title,Actors
Wicked,Cynthia ErivoAriana GrandeJeff Goldblum
The King of Kings,Pierce BrosnanForest WhitakerUma Thurman
The Brutalist,Adrien BrodyFelicity JonesGuy Pearce
Cleaner,Poppy Townsend WhiteClive OwenDudley Watts
Interstellar,Matthew McConaugheyAnne HathawayJessica Chastain
The Godfather,Marlon BrandoAl PacinoJames Caan
Barbarian,Georgina CampbellBill SkarsgårdJustin Long
Black Widow,Scarlett JohanssonFlorence PughDavid Harbour
The Penguin Lessons,Steve CooganJonathan PryceBruno Blas
From the World of John Wick: Ballerina,Ana de ArmasKeanu ReevesLance Reddick
Twisters,Daisy Edgar-JonesGlen PowellAnthony Ramos
The Two Popes,Jonathan PryceAnthony HopkinsJuan Minujín
Once Upon a Time... in Hollywood,Leonardo DiCaprioBrad PittMargot Robbie
Top Gun: Maverick,Tom CruiseJennifer ConnellyMiles Teller
Mufasa: The Lion King,Aaron PierreKelvin Harrison Jr.Tiffany Boone
Salvable,Shia LaBeoufToby KebbellJames Cosmo
The Legend of Ochi,Helena ZengelWillem DafoeEmily Watson
Kesari Chapter 2: The Untold Story of Jallianwala Bagh,Akshay KumarMadhavanAnanya Panday
Tombstone,Kurt RussellVal KilmerSam Elliott
Kraven the Hunter,Aaron Taylor-JohnsonAriana DeBoseFred Hechinger
The Commitments,Robert ArkinsMichael AherneAngeline Ball
Deadpool & Wolverine,Ryan ReynoldsHugh JackmanEmma Corrin
The Dark Knight,Christian BaleHeath LedgerAaron Eckhart
Trap,Josh HartnettAriel DonoghueSaleka Shyamalan
Inception,Leonardo DiCaprioJoseph Gordon-LevittElliot Page
Karate Kid: Legends,Joshua JacksonJackie ChanRalph Macchio
Deep Cover,Bryce Dallas HowardPaddy ConsidineSean Bean
A Real Pain,Kieran CulkinJesse EisenbergOlha Bosova
Speak No Evil,James McAvoyMackenzie DavisScoot McNairy
Love,Aomi MuyockKarl GlusmanKlara Kristin
Jurassic World Rebirth,Scarlett JohanssonRupert FriendJonathan Bailey
Star Wars: Episode IV - A New Hope,Mark HamillHarrison FordCarrie Fisher
Fear Street: Prom Queen,Ariana GreenblattElla RubinKatherine Waterston
Den of Thieves,Gerard ButlerPablo SchreiberO'Shea Jackson Jr.
Mission: Impossible - Dead Reckoning Part One,Tom CruiseHayley AtwellVing Rhames
Inglourious Basterds,Brad PittDiane KrugerEli Roth
Alien: Romulus,Cailee SpaenyDavid JonssonArchie Renaux
Harry Potter and the Sorcerer's Stone,Daniel RadcliffeRupert GrintEmma Watson
Titanic,Leonardo DiCaprioKate WinsletBilly Zane
Pulp Fiction,John TravoltaUma ThurmanSamuel L. Jackson
The Wild Robot,Lupita Nyong'oPedro PascalKit Connor
Lolita,Jeremy IronsDominique SwainMelanie Griffith
Mysterious Island,Michael CraigJoan GreenwoodMichael Callan
The Lord of the Rings: The Fellowship of the Ring,Elijah WoodIan McKellenOrlando Bloom
Final Destination,Devon SawaAli LarterKerr Smith
Virgin Territory,Hayden ChristensenMischa BartonRyan Cartwright
Now You See Me 2,Jesse EisenbergMark RuffaloWoody Harrelson
The Wolf of Wall Street,Leonardo DiCaprioJonah HillMargot Robbie
Star Wars: Episode I - The Phantom Menace,Ewan McGregorLiam NeesonNatalie Portman
Dune: Part Two,Timothée ChalametZendayaRebecca Ferguson
Avengers: Endgame,Robert Downey Jr.Chris EvansMark Ruffalo
The Hunger Games,Jennifer LawrenceJosh HutchersonLiam Hemsworth
The Bhootnii,Sanjay DuttSunny SinghMouni Roy
Heat,Al PacinoRobert De NiroVal Kilmer
The Truman Show,Jim CarreyEd HarrisLaura Linney
Retro,SuriyaPooja HegdeJayaram
Fight or Flight,Josh HartnettCharithra ChandranKatee Sackhoff
Flow,
The Alto Knights,Robert De NiroDebra MessingKathrine Narducci
Screamboat,Tyler PoseyDavid Howard ThorntonSarah Kopkin
The Woman in the Yard,Danielle DeadwylerOkwui OkpokwasiliPeyton Jackson
Moana 2,Auli'i CravalhoDwayne JohnsonHualalai Chung
The Ugly Stepsister,Lea MyrenAne Dahl TorpThea Sofie Loch Næss
Sonic the Hedgehog 3,Jim CarreyBen SchwartzKeanu Reeves
X,Mia GothJenna OrtegaBrittany Snow
Wolf Man,Christopher AbbottJulia GarnerMatilda Firth
Fight Club,Brad PittEdward NortonMeat Loaf
In the Lost Lands,Milla JovovichDave BautistaArly Jover
The Silence of the Lambs,Jodie FosterAnthony HopkinsScott Glenn
No Hard Feelings,Jennifer LawrenceAndrew Barth FeldmanLaura Benanti
The Hunger Games: The Ballad of Songbirds & Snakes,Rachel ZeglerTom BlythViola Davis
"Sorry, Baby",Eva VictorNaomi AckieLouis Cancelmi
Parasite,Song Kang-hoLee Sun-kyunCho Yeo-jeong
Schindler's List,Liam NeesonRalph FiennesBen Kingsley
Fountain of Youth,Eiza GonzálezNatalie PortmanStanley Tucci
Midsommar,Florence PughJack ReynorVilhelm Blomgren
Civil War,Kirsten DunstWagner MouraCailee Spaeny
Goodfellas,Robert De NiroRay LiottaJoe Pesci
Smile 2,Naomi ScottRosemarie DeWittLukas Gage
Parthenope,Celeste Dalla PortaStefania SandrelliGary Oldman
Clown in a Cornfield,Katie DouglasAaron AbramsCarson MacCormac
Dazed and Confused,Jason LondonWiley WigginsMatthew McConaughey
Se7en,Morgan FreemanBrad PittKevin Spacey
I'm Still Here,Fernanda TorresFernanda MontenegroSelton Mello
The Life of Chuck,Carla GuginoKaren GillanViolet McGraw
The Princess Bride,Cary ElwesMandy PatinkinRobin Wright
Primal Fear,Richard GereLaura LinneyEdward Norton
Magazine Dreams,Jonathan MajorsHarrison PageHarriet Sansom Harris
Anyone But You,Sydney SweeneyGlen PowellAlexandra Shipp
28 Days Later,Cillian MurphyNaomie HarrisChristopher Eccleston
Forrest Gump,Tom HanksRobin WrightGary Sinise
Longlegs,Maika MonroeNicolas CageBlair Underwood
Poor Things,Emma StoneMark RuffaloWillem Dafoe
It Ends with Us,Blake LivelyJustin BaldoniJenny Slate
The Phoenician Scheme,Benicio Del ToroMia ThreapletonMichael Cera
The Ministry of Ungentlemanly Warfare,Henry CavillAlan RitchsonAlex Pettyfer
We Live in Time,Andrew GarfieldFlorence PughGrace Delaney
The Shrouds,Vincent CasselDiane KrugerGuy Pearce
365 Days,Anna-Maria SiekluckaMichele MorroneBronislaw Wroclawski
The Prestige,Christian BaleHugh JackmanScarlett Johansson
The Return,Charlie PlummerMarwan KenzariClaudio Santamaria
Jurassic Park,Sam NeillLaura DernJeff Goldblum
Mission: Impossible,Tom CruiseJon VoightEmmanuelle Béart
On Swift Horses,Daisy Edgar-JonesJacob ElordiWill Poulter
Fifty Shades of Grey,Dakota JohnsonJamie DornanJennifer Ehle
The Batman,Robert PattinsonZoë KravitzJeffrey Wright
The Dark Knight Rises,Christian BaleTom HardyAnne Hathaway
Superboys of Malegaon,Adarsh GouravShashank AroraVineet Kumar Singh
Friendship,Tim RobinsonPaul RuddKate Mara
Raiders of the Lost Ark,Harrison FordKaren AllenPaul Freeman
Jaat,Sunny DeolRandeep HoodaRegena Cassandrra
Django Unchained,Jamie FoxxChristoph WaltzLeonardo DiCaprio
Venom: The Last Dance,Tom HardyChiwetel EjioforJuno Temple
Spider-Man: Across the Spider-Verse,Shameik MooreHailee SteinfeldBrian Tyree Henry
From Dusk Till Dawn,Harvey KeitelGeorge ClooneyJuliette Lewis
Heart Eyes,Mason GoodingOlivia HoltGigi Zumbado
The Matrix,Keanu ReevesLaurence FishburneCarrie-Anne Moss
American Pie,Jason BiggsChris KleinThomas Ian Nicholas
Batman Begins,Christian BaleMichael CaineKen Watanabe
The Departed,Leonardo DiCaprioMatt DamonJack Nicholson
The Gentlemen,Matthew McConaugheyCharlie HunnamMichelle Dockery
Twilight,Kristen StewartRobert PattinsonBilly Burke
,
HIT: The 3rd Case,NaniSrinidhi ShettyAdivi Sesh
Prey,Amber MidthunderDakota BeaversDane DiLiegro
The Apprentice,Sebastian StanJeremy StrongMartin Donovan
Holland,Nicole KidmanGael García BernalMatthew Macfadyen
Juror #2,Nicholas HoultToni ColletteJ.K. Simmons
Gone Girl,Ben AffleckRosamund PikeNeil Patrick Harris
Borbaad,Shakib KhanJisshu SenguptaIdhika Paul
Back to the Future,Michael J. FoxChristopher LloydLea Thompson
Grease,John TravoltaOlivia Newton-JohnStockard Channing
The Goonies,Sean AstinJosh BrolinJeff Cohen
The Assessment,Alicia VikanderElizabeth OlsenHimesh Patel
Furiosa: A Mad Max Saga,Anya Taylor-JoyChris HemsworthTom Burke
Blade Runner 2049,Harrison FordRyan GoslingAna de Armas
Whiplash,Miles TellerJ.K. SimmonsMelissa Benoist
Requiem for a Dream,Ellen BurstynJared LetoJennifer Connelly
Star Wars: Episode II - Attack of the Clones,Hayden ChristensenNatalie PortmanEwan McGregor
The Passion of the Christ,Jim CaviezelMonica BellucciMaia Morgenstern
Alien,Sigourney WeaverTom SkerrittJohn Hurt
Léon: The Professional,Jean RenoGary OldmanNatalie Portman
Adult Best Friends,Delaney BuffettHannah CampbellCarmen Christopher
The Notebook,Gena RowlandsJames GarnerRachel McAdams
Good Will Hunting,Robin WilliamsMatt DamonBen Affleck
No Country for Old Men,Tommy Lee JonesJavier BardemJosh Brolin
Spider-Man: No Way Home,Tom HollandZendayaBenedict Cumberbatch
Matilda,Danny DeVitoRhea PerlmanMara Wilson
Wrath of Man,Jason StathamHolt McCallanyJosh Hartnett
Blink Twice,Naomi AckieChanning TatumAlia Shawkat
Flight Risk,Michelle DockeryMark WahlbergTopher Grace
Hell of a Summer,Adam PallyRosebud BakerFred Hechinger
Leave the World Behind,Julia RobertsMahershala AliEthan Hawke
Thudarum,MohanlalShobanaPrakash Varma
All Ladies Do It,Claudia KollPaolo LanzaFranco Branciaroli
Strange Darling,Willa FitzgeraldKyle GallnerMadisen Beaty
Megalopolis,Adam DriverGiancarlo EspositoNathalie Emmanuel
Pirates of the Caribbean: The Curse of the Black Pearl,Johnny DeppGeoffrey RushOrlando Bloom
Avengers: Infinity War,Robert Downey Jr.Chris HemsworthMark Ruffalo
Donnie Darko,Jake GyllenhaalJena MaloneMary McDonnell
Prisoners,Hugh JackmanJake GyllenhaalViola Davis
The Dreamers,Michael PittLouis GarrelEva Green
Top Gun,Tom CruiseTim RobbinsKelly McGillis
Hurry Up Tomorrow,The WeekndJenna OrtegaBarry Keoghan
Paul,Simon PeggNick FrostSeth Rogen
Barbie,Margot RobbieRyan GoslingIssa Rae
Life or Something Like It,Angelina JolieEdward BurnsTony Shalhoub
Scarface,Al PacinoMichelle PfeifferSteven Bauer
Chhaava,Vicky KaushalAkshaye KhannaRashmika Mandanna
American Beauty,Kevin SpaceyAnnette BeningThora Birch
In Secret,Elizabeth OlsenTom FeltonJessica Lange
Apocalypse Now,Martin SheenMarlon BrandoRobert Duvall
Kingdom of Heaven,Orlando BloomEva GreenLiam Neeson
All That Jazz,Roy ScheiderJessica LangeAnn Reinking
Oldboy,Choi Min-sikYoo Ji-taeKang Hye-jeong
The Count of Monte-Cristo,Pierre NineyBastien BouillonAnaïs Demoustier
Incendies,Lubna AzabalMélissa Désormeaux-PoulinMaxim Gaudette
Predator: Killer of Killers,Michael BiehnRick GonzalezLouis Ozawa
Romeo + Juliet,Leonardo DiCaprioClaire DanesJohn Leguizamo
Nope,Daniel KaluuyaKeke PalmerBrandon Perea
Star Wars: Episode V - The Empire Strikes Back,Mark HamillHarrison FordCarrie Fisher
