Title,Actors
Lee,"['Kate Winsle', 'tAndy Samber']"
Pearl,"['Mia Got', 'hDavid Corenswe']"
Airplane!,"['Robert Hay', 'sJulie Hagert']"
Homestead,"['Iñigo Pascua', 'lMark Labell']"
Ready Player One,"['Tye Sherida', 'nOlivia Cook']"
Ready or Not,"['Samara Weavin', 'gAdam Brod']"
Malena,"['Monica Bellucc', 'iGiuseppe Sulfar']"
The Heartbreak Kid,"['Ben Stille', 'rMichelle Monagha']"
Stand by Me,"['Wil Wheato', 'nRiver Phoeni']"
Reservoir Dogs,"['Harvey Keite', 'lTim Rot']"
Star Trek: Section 31,"['Michelle Yeo', 'hOmari Hardwic']"
Jumanji,"['Robin William', 'sKirsten Duns']"
Saltburn,"['Barry Keogha', 'nJacob Elord']"
Mission: Impossible III,"['Tom Cruis', 'eMichelle Monagha']"
Alita: Battle Angel,"['Rosa Salaza', 'rChristoph Walt']"
Culpa Mía,"['Nicole Wallac', 'eGabriel Guevar']"
The Room Next Door,"['Julianne Moor', 'eTilda Swinto']"
Manchester by the Sea,"['Casey Afflec', 'kMichelle William']"
Court - State Vs. A Nobody,"['Priyadarshi Pulikond', 'aHarsh Rosha']"
The Equalizer 3,"['Denzel Washingto', 'nDakota Fannin']"
War of the Worlds,"['Tom Cruis', 'eDakota Fannin']"
The Raid: Redemption,"['Iko Uwai', 'sAnanda Georg']"
Almost Famous,"['Billy Crudu', 'pPatrick Fugi']"
The Fifth Element,"['Bruce Willi', 'sMilla Jovovic']"
Transformers,"['Shia L', 'aBeou', 'fMegan Fo']"
Black Panther: Wakanda Forever,"['Letitia Wrigh', ""tLupita Nyong'""]"
Woman of the Hour,"['Anna Kendric', 'kDaniel Zovatt']"
Tron: Legacy,"['Jeff Bridge', 'sGarrett Hedlun']"
Madame Web,"['Dakota Johnso', 'nSydney Sweene']"
Totally Killer,"['Kiernan Shipk', 'aOlivia Hol']"
Smile,"['Sosie Baco', 'nJessie T. Ushe']"
Harry Potter and the Deathly Hallows: Part 2,"['Daniel Radcliff', 'eEmma Watso']"
Interview with the Vampire,"['Brad Pit', 'tTom Cruis']"
Final Destination 3,"['Mary Elizabeth Winstea', 'dRyan Merrima']"
Black Swan,"['Natalie Portma', 'nMila Kuni']"
Constantine,"['Keanu Reeve', 'sRachel Weis']"
Little Women,"['Saoirse Rona', 'nEmma Watso']"
Idiocracy,"['Luke Wilso', 'nMaya Rudolp']"
Red Eye,"['Rachel M', 'cAdam', 'sCillian Murph']"
Megan Is Missing,"['Amber Perkin', 'sRachel Quin']"
Nobody,"['Bob Odenkir', 'kAleksey Serebryako']"
Joker,"['Joaquin Phoeni', 'xRobert De Nir']"
The Karate Kid,"['Ralph Macchi', 'oPat Morit']"
Indiana Jones and the Temple of Doom,"['Harrison For', 'dKate Capsha']"
The Girl Next Door,"['Emile Hirsc', 'hElisha Cuthber']"
1917,"['Dean-Charles Chapma', 'nGeorge Ma', 'cKa']"
Grown Ups,"['Adam Sandle', 'rSalma Haye']"
The Voyeurs,"['Sydney Sweene', 'yJustice Smit']"
Death Becomes Her,"['Meryl Stree', 'pBruce Willi']"
Avatar,"['Sam Worthingto', 'nZoe Saldañ']"
Legally Blonde,"['Reese Witherspoo', 'nLuke Wilso']"
EuroTrip,"['Scott Mechlowic', 'zJacob Pitt']"
Fargo,"['William H. Mac', 'yFrances M', 'cDorman']"
Stargate,"['Kurt Russel', 'lJames Spade']"
The Mummy,"['Brendan Frase', 'rRachel Weis']"
Dora and the Lost City of Gold,"['Isabela Merce', 'dEugenio Derbe']"
Clue,"['Eileen Brenna', 'nTim Curr']"
Once Upon a Time in America,"['Robert De Nir', 'oJames Wood', 'sElizabeth M']"
The Gift,"['Jason Batema', 'nRebecca Hal']"
Rush,"['Daniel Brüh', 'lChris Hemswort']"
Avatar: The Way of Water,"['Sam Worthingto', 'nZoe Saldañ']"
The Final Destination,"['Nick Zan', 'oKrista Alle']"
Rebel Ridge,"['Aaron Pierr', 'eDon Johnso', 'nAnn']"
Bridget Jones: Mad About the Boy,"['Renée Zellwege', 'rChiwetel Ejiofo']"
The Comeback Trail,"['Robert De Nir', 'oTommy Lee Jone']"
The Hateful Eight,"['Samuel L. Jackso', 'nKurt Russel']"
2001: A Space Odyssey,"['Keir Dulle', 'aGary Lockwoo']"
The Covenant,"['Jake Gyllenhaa', 'lDar Sali']"
True Grit,"['Jeff Bridge', 'sMatt Damo']"
Memories of Murder,"['Song Kang-h', 'oKim Sang-kyun']"
Tenet,"['John David Washingto', 'nRobert Pattinso']"
Indiana Jones and the Dial of Destiny,"['Harrison For', 'dPhoebe Waller-Bridg']"
Divergent,"['Shailene Woodle', 'yTheo Jame']"
Hallow Road,"['Rosamund Pik', 'eMatthew Rhy', 'sMegan M']"
Fruitvale Station,"['Michael B. Jorda', 'nMelonie Dia']"
A Time to Kill,"['Matthew M', 'cConaughe', 'ySandra Bulloc']"
Prometheus,"['Noomi Rapac', 'eLogan Marshall-Gree']"
Casino,"['Robert De Nir', 'oSharon Ston']"
Joker: Folie à Deux,"['Joaquin Phoeni', 'xLady Gag']"
Uncle Buck,"['John Cand', 'yMacaulay Culki']"
Unforgiven,"['Clint Eastwoo', 'dGene Hackma']"
Willow,"['Val Kilme', 'rJoanne Whalle']"
Me Before You,"['Emilia Clark', 'eSam Clafli', 'nJanet M']"
500 Days of Summer,"['Zooey Deschane', 'lJoseph Gordon-Levit']"
Scream,"['Neve Campbel', 'lCourteney Co']"
Us,"[""Lupita Nyong'"", 'oWinston Duk']"
The Secret Life of Walter Mitty,"['Ben Stille', 'rKristen Wii']"
Mr. Nobody,"['Jared Let', 'oSarah Polle']"
Lilo & Stitch,"['Daveigh Chas', 'eChris Sander']"
Fast X,"['Vin Diese', 'lMichelle Rodrigue']"
Frewaka,"['Clare Monnell', 'yBríd Ní Neachtai']"
Life Is Beautiful,"['Roberto Benign', 'iNicoletta Brasch']"
Good Bad Ugly,"['Trisha Krishna', 'nAjith Kuma']"
Knock Knock,"['Keanu Reeve', 'sLorenza Izz']"
Deadpool,"['Ryan Reynold', 'sMorena Baccari']"
Warrior,"['Tom Hard', 'yNick Nolt']"
Final Destination 5,"[""Nicholas D'Agost"", 'oEmma Bel']"
Promising Young Woman,"['Carey Mulliga', 'nBo Burnha']"
Come and See,"['Aleksey Kravchenk', 'oOlga Mironov']"
Downfall,"['Bruno Gan', 'zAlexandra Maria Lar']"
Kingsman: The Golden Circle,"['Taron Egerto', 'nColin Firt']"
Angels & Demons,"['Tom Hank', 'sEwan M', 'cGrego']"
Train to Busan,"['Gong Yo', 'oJung Yu-m']"
Brokeback Mountain,"['Jake Gyllenhaa', 'lHeath Ledge']"
2073,"['Samantha Morto', 'nNaomi Acki']"
Basic Instinct,"['Michael Dougla', 'sSharon Ston']"
The Great Gatsby,"['Leonardo D', 'iCapri', 'oCarey Mulliga']"
Zodiac,['Jake Gyllenhaa']
RoboCop,"['Peter Welle', 'rNancy Alle']"
Kinds of Kindness,"['Emma Ston', 'eJesse Plemon']"
The Raid 2,"['Iko Uwai', 'sYayan Ruhia']"
Grown Ups 2,"['Adam Sandle', 'rKevin Jame']"
Pan's Labyrinth,"['Ivana Baquer', 'oAriadna Gi']"
The Intouchables,"['François Cluze', 'tOmar S']"
The Blue Lagoon,"['Brooke Shield', 'sChristopher Atkin', 'sLeo M']"
Minority Report,"['Tom Cruis', 'eColin Farrel']"
Apocalypto,"['Gerardo Taracen', 'aRaoul Max Trujill']"
A Different Man,"['Sebastian Sta', 'nRenate Reinsv']"
Mamma Mia!,"['Meryl Stree', 'pPierce Brosna']"
Glass Onion,"['Daniel Crai', 'gEdward Norto']"
Wind River,"['Elizabeth Olse', 'nJeremy Renne']"
Costao,"['Nawazuddin Siddiqu', 'iPriya Bapa']"
Black Hawk Down,"['Josh Hartnet', 'tEwan M', 'cGrego']"
Love & Other Drugs,"['Jake Gyllenhaa', 'lAnne Hathawa']"
Homefront,"['Jason Statha', 'mJames Franc']"
About Time,"['Domhnall Gleeso', 'nRachel M', 'cAdam']"
Sisters,"['Amy Poehle', 'rTina Fe']"
300,"['Gerard Butle', 'rLena Heade']"
Starship Troopers,"['Casper Van Die', 'nDenise Richard']"
The Equalizer 2,"['Denzel Washingto', 'nPedro Pasca']"
Sneaks,"['Anthony Macki', 'eKeith Davi']"
The Conjuring,"['Patrick Wilso', 'nVera Farmig']"
Captain America: The Winter Soldier,"['Chris Evan', 'sSamuel L. Jackso']"
Love Hurts,"['Ke Huy Qua', 'nAriana D', 'eBos']"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","['Tilda Swinto', 'nGeorgie Henle']"
Home Alone,"['Macaulay Culki', 'nJoe Pesc']"
Jumanji: Welcome to the Jungle,"['Dwayne Johnso', 'nKaren Gilla']"
A Clockwork Orange,"['Malcolm M', 'cDowel', 'lPatrick Mage']"
Dunkirk,"['Fionn Whitehea', 'dBarry Keogha']"
Alarum,"['Scott Eastwoo', 'dSylvester Stallon']"
We're the Millers,"['Jason Sudeiki', 'sJennifer Anisto']"
Drive,"['Ryan Goslin', 'gCarey Mulliga']"
The Unholy Trinity,"['Pierce Brosna', 'nSamuel L. Jackso']"
Love Lies Bleeding,"['Anna Baryshniko', 'vKristen Stewar']"
The Witch,"['Anya Taylor-Jo', 'yRalph Ineso']"
A Knight's Tale,"['Heath Ledge', 'rMark Add']"
The Place Beyond the Pines,"['Ryan Goslin', 'gBradley Coope']"
Transformers One,"['Chris Hemswort', 'hBrian Tyree Henr']"
The Fugitive,"['Harrison For', 'dTommy Lee Jone']"
21 Jump Street,"['Jonah Hil', 'lChanning Tatu']"
Spider-Man: Into the Spider-Verse,"['Shameik Moor', 'eJake Johnso']"
Monty Python and the Holy Grail,"['Graham Chapma', 'nJohn Clees']"
Sixteen Candles,"['Molly Ringwal', 'dAnthony Michael Hal']"
Platoon,"['Charlie Shee', 'nTom Berenge']"
The Lord of the Rings: The Two Towers,"['Elijah Woo', 'dIan M', 'cKelle']"
Amadeus,"['F. Murray Abraha', 'mTom Hulc']"
"Three Billboards Outside Ebbing, Missouri","['Frances M', 'cDorman', 'dWoody Harrelso']"
Mob Cops,"['Kevin Connoll', 'yDavid Arquett']"
The Hobbit: An Unexpected Journey,"['Martin Freema', 'nIan M', 'cKelle']"
Point Break,"['Patrick Swayz', 'eKeanu Reeve']"
Five Nights at Freddy's,"['Josh Hutcherso', 'nPiper Rubi']"
Hacksaw Ridge,"['Andrew Garfiel', 'dSam Worthingto']"
The Rose of Versailles,"['Miyuki Sawashir', 'oToshiyuki Toyonag']"
Inside Out 2,"['Amy Poehle', 'rMaya Hawk']"
The Age of Adaline,"['Blake Livel', 'yMichiel Huisma']"
Ratatouille,"['Brad Garret', 'tLou Roman']"
Thor: Ragnarok,"['Chris Hemswort', 'hTom Hiddlesto']"
Shallow Hal,"['Jack Blac', 'kGwyneth Paltro']"
Star Wars: Episode VIII - The Last Jedi,"['Daisy Ridle', 'yJohn Boyeg']"
Landmine Goes Click,"['Sterling Knigh', 'tSpencer Lock']"
Jurassic World,"['Chris Prat', 'tBryce Dallas Howar']"
Harry Potter and the Prisoner of Azkaban,"['Daniel Radcliff', 'eEmma Watso']"
Call Me by Your Name,"['Timothée Chalame', 'tArmie Hamme']"
The Game,"['Michael Dougla', 'sDeborah Kara Unge']"
Hidden Figures,"['Taraji P. Henso', 'nOctavia Spence']"
Split,"['James M', 'cAvo', 'yAnya Taylor-Jo']"
Y tu mamá también,"['Maribel Verd', 'úGael García Berna']"
Martyrs,"['Morjana Alaou', 'iMylène Jampano']"
Here,"['Tom Hank', 'sRobin Wrigh']"
If Only,"['Jennifer Love Hewit', 'tPaul Nicholl']"
Stardust,"['Charlie Co', 'xClaire Dane']"
Popeye: The Slayer Man,"['Jason Robert Stephen', 'sAngela Reluci']"
Gunslingers,"['Stephen Dorf', 'fHeather Graha']"
Unfaithful,"['Richard Ger', 'eDiane Lan']"
Secretary,"['James Spade', 'rMaggie Gyllenhaa']"
True Romance,"['Christian Slate', 'rPatricia Arquett']"
Edge of Tomorrow,"['Tom Cruis', 'eEmily Blun']"
Total Recall,"['Arnold Schwarzenegge', 'rSharon Ston']"
I Spit on Your Grave,"['Sarah Butle', 'rJeff Branso']"
Ex Machina,"['Alicia Vikande', 'rDomhnall Gleeso']"
The Toxic Avenger,"['Kevin Baco', 'nElijah Woo']"
Once Upon a Time in the West,"['Henry Fond', 'aCharles Bronso']"
No Time to Die,"['Daniel Crai', 'gAna de Arma']"
Superman,"['Christopher Reev', 'eMargot Kidde']"
The Ballad of Wallis Island,"['Tom Basde', 'nTim Ke']"
The Hunt,"['Mads Mikkelse', 'nThomas Bo Larse']"
The Rule of Jenny Pen,"['Geoffrey Rus', 'hNikki Ma', 'cDonnel']"
Mission: Impossible - Rogue Nation,"['Tom Cruis', 'eRebecca Ferguso']"
Horizon: An American Saga - Chapter 1,"['Kevin Costne', 'rSienna Mille']"
Sing,"['Matthew M', 'cConaughe', 'yReese Witherspoo', 'nSeth Ma']"
The Pianist,"['Adrien Brod', 'yThomas Kretschman']"
Creed,"['Michael B. Jorda', 'nSylvester Stallon']"
Grave of the Fireflies,"['Tsutomu Tatsum', 'iAyano Shiraish']"
Charlie and the Chocolate Factory,"['Johnny Dep', 'pFreddie Highmor']"
The Sound of Music,"['Julie Andrew', 'sChristopher Plumme']"
The Martian,"['Matt Damo', 'nJessica Chastai']"
Despicable Me 4,"['Steve Carel', 'lKristen Wii']"
Old School,"['Luke Wilso', 'nVince Vaugh']"
White Chicks,"['Marlon Wayan', 'sShawn Wayan']"
The Girl with the Dragon Tattoo,"['Daniel Crai', 'gRooney Mar']"
Terminator: Dark Fate,"['Linda Hamilto', 'nArnold Schwarzenegge']"
Kids,"['Leo Fitzpatric', 'kJustin Pierc']"
The Revenant,"['Leonardo D', 'iCapri', 'oTom Hard']"
The Predator,"['Boyd Holbroo', 'kTrevante Rhode']"
Poltergeist,"['J', 'oBeth William', ""sHeather O'Rourk""]"
Lie with Me,"['Lauren Lee Smit', 'hEric Balfou']"
Juliet & Romeo,"['Clara Rugaar', 'dJamie War']"
Only the Brave,"['Josh Broli', 'nMiles Telle']"
Wrong Turn,"['Eliza Dushk', 'uJeremy Sist']"
The Wedding Banquet,"['Bowen Yan', 'gLily Gladston']"
A Beautiful Mind,"['Russell Crow', 'eEd Harri']"
Mid90s,"['Sunny Sulji', 'cKatherine Watersto']"
September 5,"['Peter Sarsgaar', 'dJohn Magar']"
Fury,"['Brad Pit', 'tShia L', 'aBeou']"
The Perks of Being a Wallflower,"['Logan Lerma', 'nEmma Watso']"
Anatomy of a Fall,"['Sandra Hülle', 'rSwann Arlau']"
Notting Hill,"['Hugh Gran', 'tJulia Robert', 'sRichard M']"
Don't Look Up,"['Leonardo D', 'iCapri', 'oJennifer Lawrenc']"
Free Guy,"['Ryan Reynold', 'sJodie Come']"
Sisu,"['Jorma Tommil', 'aAksel Henni']"
Avengers: Age of Ultron,['Robert Downey Jr.Chris Evan']
The General's Daughter,"['John Travolt', 'aMadeleine Stow']"
Moana,"[""Auli'i Cravalh"", 'oDwayne Johnso']"
The Last Showgirl,"['Pamela Anderso', 'nBrenda Son']"
Your Name.,"['Ryûnosuke Kamik', 'iMone Kamishiraish']"
Harry Potter and the Chamber of Secrets,"['Daniel Radcliff', 'eRupert Grin']"
Moneyball,"['Brad Pit', 'tRobin Wrigh']"
A Dog's Way Home,"['Ashley Jud', 'dJonah Hauer-Kin']"
Return to Silent Hill,"['Jeremy Irvin', 'eHannah Emily Anderso']"
Die Alone,"['Carrie-Anne Mos', 'sDouglas Smit']"
Scary Movie,"['Anna Fari', 'sJon Abraham']"
Deva,"['Pooja Hegd', 'eShahid Kapoo']"
Princess Mononoke,"['Yôji Matsud', 'aYuriko Ishid']"
Perfect Days,"['Kôji Yakush', 'oTokio Emot']"
Friday,"['Ice Cub', 'eChris Tucke']"
The Greatest Showman,"['Hugh Jackma', 'nMichelle William']"
Nonnas,"['Vince Vaugh', 'nLorraine Bracc']"
Uncut Gems,"['Adam Sandle', 'rJulia Fo']"
Blue Velvet,"['Isabella Rossellin', 'iKyle Ma', 'cLachla']"
Ferris Bueller's Day Off,"['Matthew Broderic', 'kAlan Ruc']"
"Good Luck to You, Leo Grande","['Emma Thompso', 'nDaryl M', 'cCormac']"
You're Cordially Invited,"['Will Ferrel', 'lReese Witherspoo']"
Harry Potter and the Order of the Phoenix,"['Daniel Radcliff', 'eEmma Watso']"
I Saw the TV Glow,"['Justice Smit', 'hJack Have']"
Armageddon,"['Bruce Willi', 'sBilly Bob Thornto']"
Psycho,"['Anthony Perkin', 'sJanet Leig']"
Wonka,"['Timothée Chalame', 'tGustave Di', 'eMurray M']"
Men in Black,"['Tommy Lee Jone', 'sWill Smit']"
The Da Vinci Code,"['Tom Hank', 'sAudrey Tauto']"
The Wizard of Oz,"['Judy Garlan', 'dFrank Morga']"
Chronicle,"['Dane D', 'eHaa', 'nAlex Russel']"
School of Rock,"['Jack Blac', 'kMike Whit']"
Bridge to Terabithia,"['Josh Hutcherso', 'nAnn', 'aSophia Rob']"
Ghosted,"['Chris Evan', 'sAna de Arma']"
Thor,"['Chris Hemswort', 'hAnthony Hopkin']"
Trainspotting,"['Ewan M', 'cGrego', 'rEwen Bremne']"
The Human Centipede (First Sequence),"['Dieter Lase', 'rWinter William']"
Tremors,"['Kevin Baco', 'nFred War']"
The Irishman,"['Robert De Nir', 'oAl Pacin']"
Terrifier,"['Jenna Kanel', 'lSamantha Scaffid']"
Aftersun,"['Paul Mesca', 'lFrankie Cori']"
Veera Dheera Sooran: Part 2,"['Vikra', 'mDushara Vijaya']"
Runaway Jury,"['John Cusac', 'kRachel Weis']"
The Hill,"['Dennis Quai', 'dColin For']"
The Little Mermaid,"['Halle Baile', 'yJonah Hauer-Kin', 'gMelissa M']"
Captain America: Civil War,['Chris Evan']
Cruel Intentions,"['Sarah Michelle Gella', 'rRyan Phillipp']"
The Faculty,"['Jordana Brewste', 'rClea D', 'uVal']"
It's a Mad Mad Mad Mad World,"['Spencer Trac', 'yMilton Berl']"
The Salt Path,"['Jason Isaac', 'sGillian Anderso']"
The Idea of You,"['Anne Hathawa', 'yNicholas Galitzin']"
Shrek,"['Mike Myer', 'sEddie Murph']"
Lucky Baskhar,"['Dulquer Salmaa', 'nMeenaakshi Chaudhar']"
The Cabin in the Woods,"['Kristen Connoll', 'yChris Hemswort']"
The Last Stop in Yuma County,"['Jim Cumming', 'sFaizon Lov']"
The Gray Man,"['Ryan Goslin', 'gChris Evan']"
The Marvels,"['Brie Larso', 'nTeyonah Parri']"
Ne Zha 2,"['Yanting L', 'üMo Ha']"
The Exorcist,"['Ellen Bursty', 'nMax von Sydo']"
Children of Men,"['Julianne Moor', 'eClive Owe']"
Eden Lake,"['Kelly Reill', 'yMichael Fassbende']"
Shang-Chi and the Legend of the Ten Rings,"['Simu Li', 'uAwkwafin']"
Amélie,"['Audrey Tauto', 'uMathieu Kassovit']"
Jojo Rabbit,"['Roman Griffin Davi', 'sThomasin M', 'cKenzi']"
Into the Wild,"['Emile Hirsc', 'hVince Vaugh']"
The Ritual,"['Al Pacin', 'oDan Steven']"
Nickel Boys,"['Ethan Heriss', 'eBrandon Wilso']"
Draft Day,"['Kevin Costne', 'rChadwick Bosema']"
Dracula,"['Gary Oldma', 'nWinona Ryde']"
Meet Joe Black,"['Brad Pit', 'tAnthony Hopkin']"
Black Adam,"['Dwayne Johnso', 'nAldis Hodg']"
Desire,"['Déborah Rév', 'yHélène Zimme']"
Uncharted,"['Tom Hollan', 'dMark Wahlber']"
Palm Springs,"['Andy Samber', 'gCristin Miliot']"
Kung Fu Panda,"['Jack Blac', 'kIan M', 'cShan']"
The Social Network,"['Jesse Eisenber', 'gAndrew Garfiel']"
Office Space,"['Ron Livingsto', 'nJennifer Anisto']"
The Tomorrow War,"['Chris Prat', 'tYvonne Strahovsk']"
A Serbian Film,"[""Srdjan 'Zika' Todorovi"", 'cSergej Trifunovi']"
Fresh,"['Daisy Edgar-Jone', 'sSebastian Sta']"
Salem's Lot,"['Lewis Pullma', 'nMakenzie Leig']"
The Holdovers,"['Paul Giamatt', ""iDa'Vine Joy Randolp""]"
Boogie Nights,"['Mark Wahlber', 'gJulianne Moor']"
Pretty Woman,"['Richard Ger', 'eJulia Robert']"
Doctor Strange in the Multiverse of Madness,"['Benedict Cumberbatc', 'hElizabeth Olse']"
The Mask,"['Jim Carre', 'yCameron Dia']"
The Incredible Hulk,"['Edward Norto', 'nLiv Tyle']"
The Sandlot,"['Tom Guir', 'yMike Vita', 'rArt L']"
Booksmart,"['Kaitlyn Deve', 'rBeanie Feldstei']"
The Expendables 4,['Jason Statham50 Cen']
The Zone of Interest,"['Christian Friede', 'lSandra Hülle']"
V for Vendetta,"['Hugo Weavin', 'gNatalie Portma']"
Scent of a Woman,"['Al Pacin', ""oChris O'Donnel""]"
Beetlejuice,"['Alec Baldwi', 'nGeena Davi']"
Passengers,"['Jennifer Lawrenc', 'eChris Prat']"
Carrie,"['Sissy Space', 'kPiper Lauri']"
Marked Men,"['Alexander Ludwi', 'gChase Stoke']"
The Fast and the Furious,"['Vin Diese', 'lPaul Walke']"
The Virgin Suicides,"['Kirsten Duns', 'tJosh Hartnet']"
Sing Sing,"['Colman Doming', 'oClarence Macli']"
The Whale,"['Brendan Frase', 'rSadie Sin']"
The Naked Gun: From the Files of Police Squad!,"['Leslie Nielse', 'nPriscilla Presle']"
The Hunt,"['Betty Gilpi', 'nHilary Swan']"
Lucy,"['Scarlett Johansso', 'nMorgan Freema']"
In a Violent Nature,"['Ry Barret', 'tAndrea Pavlovi']"
Casino Royale,"['Daniel Crai', 'gEva Gree']"
Predestination,"['Ethan Hawk', 'eSarah Snoo']"
Easy A,"['Emma Ston', 'eAmanda Byne']"
Sacramento,"['Michael Angaran', 'oMaya Erskin']"
The Last Voyage of the Demeter,"['Corey Hawkin', 'sAisling Francios']"
My Cousin Vinny,"['Joe Pesc', 'iMarisa Tome']"
Howl's Moving Castle,"['Chieko Baish', 'ôTakuya Kimur']"
The Devil Wears Prada,"['Anne Hathawa', 'yMeryl Stree']"
Bad Boys: Ride or Die,"['Will Smit', 'hMartin Lawrenc']"
Spaceballs,"['Mel Brook', 'sJohn Cand']"
Emmanuelle,"['Noémie Merlan', 'tWill Sharp']"
Solo: A Star Wars Story,"['Alden Ehrenreic', 'hWoody Harrelso']"
Venom,"['Tom Hard', 'yMichelle William']"
Beauty and the Beast,"['Emma Watso', 'nDan Steven']"
Love Actually,"['Hugh Gran', 'tMartine M', 'cCutcheo']"
All Quiet on the Western Front,"['Felix Kammere', 'rAlbrecht Schuc']"
The Lighthouse,"['Robert Pattinso', 'nWillem Dafo']"
E.T. the Extra-Terrestrial,"['Henry Thoma', 'sDrew Barrymor']"
Alien: Covenant,"['Michael Fassbende', 'rKatherine Watersto']"
Zootopia,"['Ginnifer Goodwi', 'nJason Batema']"
Gangs of New York,"['Leonardo D', 'iCapri', 'oCameron Dia']"
The Day the Earth Blew Up: A Looney Tunes Movie,"['Eric Bauz', 'aCandi Mil', 'oPeter Ma']"
Sicario: Day of the Soldado,"['Benicio Del Tor', 'oJosh Broli']"
A Few Good Men,"['Tom Cruis', 'eJack Nicholso']"
M3GAN,"['Allison William', 'sViolet M', 'cGra']"
Police Academy,"['Steve Guttenber', 'gG.W. Baile']"
The Six Triple Eight,"['Kerry Washingto', 'nEbony Obsidia']"
Nightcrawler,"['Jake Gyllenhaa', 'lRene Russ']"
The Imitation Game,"['Benedict Cumberbatc', 'hKeira Knightle']"
The Lives of Others,"['Ulrich Müh', 'eMartina Gedec']"
All of Us Strangers,"['Andrew Scot', 'tPaul Mesca']"
The Last Duel,"['Matt Damo', 'nAdam Drive']"
Jack Reacher,"['Tom Cruis', 'eRosamund Pik']"
The Killer,"['Michael Fassbende', 'rTilda Swinto']"
The Incredibles,"['Craig T. Nelso', 'nSamuel L. Jackso']"
Borderline,"['Samara Weavin', 'gRay Nicholso']"
Les Misérables,"['Hugh Jackma', 'nRussell Crow']"
Scott Pilgrim vs. the World,"['Michael Cer', 'aMary Elizabeth Winstea']"
Dune,"['Kyle Ma', 'cLachla', 'nVirginia Madse']"
My Old Ass,"['Maisy Stell', 'aAubrey Plaz']"
The Deer Hunter,"['Robert De Nir', 'oChristopher Walke']"
Fantastic Four,"['Ioan Gruffud', 'dMichael Chikli']"
Baywatch,"['Dwayne Johnso', 'nZac Efro']"
X-Men,"['Patrick Stewar', 'tHugh Jackma', 'nIan M']"
Die Hard,"['Bruce Willi', 'sAlan Rickma']"
Speed,"['Keanu Reeve', 'sDennis Hoppe']"
Late Night with the Devil,"['David Dastmalchia', 'nLaura Gordo']"
The Last of the Mohicans,"['Daniel Day-Lewi', 'sMadeleine Stow']"
Spotlight,"['Mark Ruffal', 'oMichael Keato', 'nRachel M']"
Dead Mail,['Sterling Macer Jr.John Flec']
The Boy and the Heron,"['Soma Santok', 'iMasaki Sud']"
L.A. Confidential,"['Kevin Space', 'yRussell Crow']"
Shazam! Fury of the Gods,"['Zachary Lev', 'iAsher Ange']"
Ant-Man and the Wasp,"['Paul Rud', 'dEvangeline Lill']"
Triangle of Sadness,"['Thobias Thorwi', 'dHarris Dickinso']"
West Side Story,"['Ansel Elgor', 'tRachel Zegle', 'rAriana D']"
Bad Times at the El Royale,"['Jeff Bridge', 'sCynthia Eriv']"
Argylle,"['Henry Cavil', 'lBryce Dallas Howar']"
Training Day,"['Denzel Washingto', 'nEthan Hawk']"
Summer of 69,"['Natalie Morale', 'sCharlie Da']"
The Patriot,"['Mel Gibso', 'nHeath Ledge']"
MadS,"['Lucille Guillaum', 'eLaurie Pav']"
Crazy Rich Asians,"['Constance W', 'uHenry Goldin']"
Hot Tub Time Machine,"['John Cusac', 'kRob Corddr']"
3 Idiots,"['Aamir Kha', 'nMadhava']"
Logan,"['Hugh Jackma', 'nPatrick Stewar']"
Coco,"['Anthony Gonzale', 'zGael García Berna']"
Emilia Pérez,"['Zoe Saldañ', 'aKarla Sofía Gascó']"
Toy Story,"['Tom Hank', 'sTim Alle']"
Survive,"['Émilie Dequenn', 'eAndreas Pietschman']"
The King's Man,"['Ralph Fienne', 'sGemma Arterto']"
For Your Eyes Only,"['Roger Moor', 'eCarole Bouque']"
The Nice Guys,"['Russell Crow', 'eRyan Goslin']"
The Maze Runner,"[""Dylan O'Brie"", 'nKaya Scodelari']"
Caddo Lake,"[""Dylan O'Brie"", 'nEliza Scanle']"
Coherence,"['Emily Baldon', 'iMaury Sterlin']"
The Lost World: Jurassic Park,"['Jeff Goldblu', 'mJulianne Moor']"
Spider-Man: Homecoming,"['Tom Hollan', 'dMichael Keato']"
Shooter,"['Mark Wahlber', 'gMichael Peñ']"
Ghostbusters,"['Bill Murra', 'yDan Aykroy']"
How to Make Millions Before Grandma Dies,"['Putthipong Assaratanaku', 'lUsha Seamkhu']"
Bring It On,"['Kirsten Duns', 'tEliza Dushk']"
Event Horizon,"['Laurence Fishburn', 'eSam Neil']"
Transformers: The Last Knight,"['Mark Wahlber', 'gAnthony Hopkin']"
Frozen,"['Kristen Bel', 'lIdina Menze']"
Good Boy,"['Larry Fessende', 'nArielle Friedma']"
The Lost Boys,"['Jason Patri', 'cCorey Hai']"
After,"['Josephine Langfor', 'dHero Fiennes Tiffi']"
Van Helsing,"['Hugh Jackma', 'nKate Beckinsal']"
Puss in Boots: The Last Wish,"['Antonio Bandera', 'sSalma Haye']"
The Wedding Singer,"['Adam Sandle', 'rDrew Barrymor']"
The Magnificent Seven,"['Denzel Washingto', 'nChris Prat']"
A Quiet Place: Day One,"[""Lupita Nyong'"", 'oJoseph Quin']"
