Title,Rating
Charlie and the Chocolate Factory,6.4
The Sound of Music,8.1
The Martian,7.7
Despicable Me 4,6.3
Old School,7.0
White Chicks,4.5
The Girl with the Dragon Tattoo,7.7
Terminator: Dark Fate,6.3
Kids,6.6
The Revenant,8.0
The Family I Had,7.9
The Predator,6.4
Poltergeist,5.7
Lie with Me,5.4
Juliet & Romeo,7.5
Only the Brave,6.6
Wrong Turn,5.5
The Wedding Banquet,8.0
A Beautiful Mind,8.3
Mid90s,6.8
September 5,7.7
Fury,8.1
The Perks of Being a Wallflower,7.6
Anatomy of a Fall,6.1
Notting Hill,7.1
Don't Look Up,7.1
Free Guy,6.3
Sisu,7.4
Avengers: Age of Ultron,8.0
The General's Daughter,6.4
Moana,6.6
The Last Showgirl,7.2
Your Name.,8.1
Home Sweet Home: Rebirth,4.7
Harry Potter and the Chamber of Secrets,7.9
Moneyball,7.8
A Dog's Way Home,7.4
Return to Silent Hill,4.9
Die Alone,5.6
Scary Movie,5.4
Deva,7.4
Princess Mononoke,8.0
Perfect Days,7.8
Friday,6.1
The Greatest Showman,7.5
Nonnas,6.4
Uncut Gems,7.3
Blue Velvet,7.9
Ferris Bueller's Day Off,7.8
"Good Luck to You, Leo Grande",7.1
You're Cordially Invited,4.9
Harry Potter and the Order of the Phoenix,7.6
I Saw the TV Glow,5.4
Armageddon,7.0
Psycho,8.5
Wonka,6.7
Men in Black,6.2
The Da Vinci Code,6.7
The Wizard of Oz,8.1
Chronicle,6.1
School of Rock,7.3
Bridge to Terabithia,6.3
Ghosted,6.3
Thor,6.7
Trainspotting,8.1
The Human Centipede (First Sequence),3.8
Tremors,6.0
The Irishman,8.2
Terrifier,6.1
Aftersun,7.6
Veera Dheera Sooran: Part 2,6.3
Runaway Jury,6.1
The Hill,6.7
The Little Mermaid,7.1
Captain America: Civil War,7.7
Cruel Intentions,4.4
The Faculty,7.2
It's a Mad Mad Mad Mad World,6.6
The Salt Path,7.4
The Idea of You,6.7
Shrek,7.4
Lucky Baskhar,6.1
The Cabin in the Woods,7.3
The Last Stop in Yuma County,6.8
The Gray Man,6.8
The Marvels,6.0
Ne Zha 2,6.7
Cheech & Chong's Last Movie,7.7
The Exorcist,8.1
Children of Men,7.9
Eden Lake,7.0
Shang-Chi and the Legend of the Ten Rings,6.9
Amélie,8.2
Jojo Rabbit,7.9
Into the Wild,8.1
The Ritual,6.9
Nickel Boys,7.7
Draft Day,6.6
Dracula,7.5
Meet Joe Black,7.8
Black Adam,7.0
Desire,5.2
Uncharted,6.3
Palm Springs,6.9
Kung Fu Panda,7.3
The Social Network,7.8
Office Space,6.5
The Tomorrow War,7.9
A Serbian Film,4.4
Fresh,7.0
Salem's Lot,6.8
The Holdovers,7.6
Boogie Nights,8.0
Pretty Woman,7.2
Doctor Strange in the Multiverse of Madness,7.5
The Mask,6.9
The Incredible Hulk,6.9
The Sandlot,6.6
Booksmart,7.3
The Expendables 4,6.1
The Zone of Interest,7.6
V for Vendetta,8.2
Scent of a Woman,7.5
Beetlejuice,6.6
Passengers,8.0
Carrie,5.8
Marked Men,6.2
The Fast and the Furious,5.9
The Virgin Suicides,7.3
Sing Sing,7.0
The Whale,7.8
The Naked Gun: From the Files of Police Squad!,6.9
The Hunt,6.8
Lucy,6.7
In a Violent Nature,6.7
Casino Royale,7.8
Predestination,7.5
Easy A,6.4
Sacramento,7.7
The Last Voyage of the Demeter,4.7
My Cousin Vinny,7.9
Howl's Moving Castle,8.6
The Devil Wears Prada,7.1
Bad Boys: Ride or Die,6.5
Spaceballs,6.7
Emmanuelle,5.9
Solo: A Star Wars Story,7.8
Venom,5.9
Beauty and the Beast,6.9
Love Actually,7.2
All Quiet on the Western Front,8.2
The Lighthouse,7.0
E.T. the Extra-Terrestrial,7.1
Alien: Covenant,7.0
Zootopia,7.4
Gangs of New York,7.5
The Day the Earth Blew Up: A Looney Tunes Movie,6.3
Sicario: Day of the Soldado,7.7
A Few Good Men,6.9
M3GAN,6.5
Police Academy,5.8
The Six Triple Eight,6.5
Nightcrawler,8.2
The Imitation Game,8.0
The Lives of Others,8.1
All of Us Strangers,7.6
The Last Duel,7.3
Jack Reacher,6.2
The Killer,6.5
The Incredibles,8.1
Borderline,6.5
Les Misérables,7.5
Scott Pilgrim vs. the World,7.7
Dune,6.6
My Old Ass,5.7
The Deer Hunter,8.1
Fantastic Four,5.6
Baywatch,6.3
X-Men,7.4
Die Hard,7.1
Speed,6.9
Late Night with the Devil,6.6
The Last of the Mohicans,7.2
Spotlight,8.1
Dead Mail,6.2
The Boy and the Heron,7.8
L.A. Confidential,8.2
Shazam! Fury of the Gods,7.0
Ant-Man and the Wasp,7.2
Triangle of Sadness,7.1
West Side Story,7.6
Bad Times at the El Royale,7.0
Argylle,6.3
Training Day,7.8
Summer of 69,7.6
The Patriot,7.2
MadS,7.1
Crazy Rich Asians,7.0
Hot Tub Time Machine,5.0
3 Idiots,8.3
Logan,7.9
Coco,8.3
Emilia Pérez,7.4
Toy Story,8.3
Survive,8.7
The King's Man,6.7
For Your Eyes Only,6.5
The Nice Guys,7.8
The Maze Runner,6.3
Caddo Lake,5.7
Coherence,6.9
The Lost World: Jurassic Park,5.9
Spider-Man: Homecoming,7.4
,
Shooter,7.5
Ghostbusters,6.6
How to Make Millions Before Grandma Dies,8.1
Bring It On,5.6
Event Horizon,6.7
Transformers: The Last Knight,5.6
Frozen,6.8
Good Boy,6.4
The Lost Boys,7.0
After,5.1
Van Helsing,7.0
Puss in Boots: The Last Wish,6.6
The Wedding Singer,6.2
The Magnificent Seven,7.7
A Quiet Place: Day One,7.2
Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write About a Serial Killer,5.9
Taken,6.2
Man of Steel,6.5
Wifelike,5.7
Beautiful Boy,7.8
IF,6.2
Sense and Sensibility,7.8
The Parent Trap,6.3
Finding Nemo,8.1
Iron Man 2,7.1
Cinderella,7.1
Kneecap,7.0
Little Miss Sunshine,7.4
Star Trek,7.7
Hook,7.1
2012,6.5
Harry Potter and the Deathly Hallows: Part 1,7.6
The Lord of the Rings: The War of the Rohirrim,6.9
Demolition,7.1
Fantastic Mr. Fox,7.8
Top Secret!,6.9
Jerry Maguire,8.0
Pirates of the Caribbean: Dead Men Tell No Tales,6.6
The Elephant Man,8.2
The Crow,7.5
Pirates of the Caribbean: Dead Man's Chest,7.1
Red One,6.0
Ground Zero,8.0
Batman,7.1
Fantastic Four,5.7
Predators,6.3
Ted,6.3
Caveat,6.7
Hamilton,6.0
Oblivion,7.9
"Lock, Stock and Two Smoking Barrels",8.2
Weird Science,7.0
Fantastic Beasts and Where to Find Them,6.5
Pink Floyd: Live at Pompeii,9.2
In Time,7.4
Contagion,6.6
Raid,7.2
Inside Man,7.7
Rain Man,7.8
Cast Away,7.4
Lost in Translation,8.0
Red Sparrow,6.7
Kingdom of the Planet of the Apes,7.4
WALL·E,8.3
Pale Rider,7.8
Iron Man 3,6.9
The Old Guard 2,6.7
Saw,6.6
The Rocky Horror Picture Show,7.1
The Rock,6.9
Death Proof,7.5
Mystic River,7.7
Opus,6.0
Geostorm,6.4
Dogma,7.2
Underwater,6.6
13 Hours: The Secret Soldiers of Benghazi,7.5
Margin Call,7.8
Zack Snyder's Justice League,6.0
Gone with the Wind,8.2
Nightbitch,7.1
It's What's Inside,6.2
The Abyss,7.6
Tangled,7.4
The 40-Year-Old Virgin,7.6
Wedding Crashers,7.1
Ben-Hur,8.2
Deadpool 2,8.0
Napoleon,7.6
A Quiet Place,7.2
Hot Fuzz,7.9
Willy Wonka & the Chocolate Factory,6.7
Ant-Man and the Wasp: Quantumania,7.0
The Last Rodeo,8.9
12 Years a Slave,8.1
Instant Family,6.0
Secretariat,6.0
Rocky,7.3
The Lion King,6.6
Tusk,4.4
The Flash,7.9
Black Mirror: Bandersnatch,8.7
"Girl, Interrupted",7.2
Coyote Ugly,6.2
Holes,7.8
Hannibal,7.2
Thirteen,7.3
The Dark Tower,5.6
The Descent,5.7
Erin Brockovich,7.1
Aladdin,7.1
X-Men: First Class,7.9
Man on Fire,6.6
Last Night in Soho,7.0
The Fast and the Furious: Tokyo Drift,5.9
Dirty Dancing,7.2
La cocina,7.5
"Monsters, Inc.",8.1
Mr. & Mrs. Smith,7.7
Blended,6.4
Death on the Nile,6.5
Not Another Teen Movie,5.4
Fly Me to the Moon,6.5
9 Songs,5.2
Peter Pan's Neverland Nightmare,5.2
World War Z,7.2
The Watchers,5.8
Drive-Away Dolls,6.6
Priscilla,7.3
The Ritual,6.3
Shame,7.5
The King,6.9
Nocturnal Animals,7.8
The Prince of Egypt,6.5
Purple Hearts,6.3
Bring Them Down,6.2
Licorice Pizza,7.4
Murder on the Orient Express,6.3
La Dolce Villa,6.8
Perfect Blue,7.7
The Banshees of Inisherin,7.9
The Bourne Identity,7.7
The Curious Case of Benjamin Button,7.8
The Perfect Storm,6.6
Tinker Tailor Soldier Spy,8.4
King Kong,6.7
"Husband, Father, Killer: The Alyssa Pladl Story",5.2
Godzilla x Kong: The New Empire,6.3
