Title,Genres
The Gorge,"['Dark Romance', 'Monster Horror', 'Survival', 'Action', 'Adventure', 'Horror', 'Romance', 'Sci-Fi']"
Gladiator,"['Action Epic', 'Adventure Epic', 'Epic', 'Period Drama', 'Sword & Sandal', 'Action', 'Adventure', 'Drama']"
Novocaine,"['Dark Comedy', 'One-Person Army Action', 'Superhero', 'Action', 'Comedy', 'Thriller']"
Pride & Prejudice,"['Costume Drama', 'Feel-Good Romance', 'Period Drama', 'Romantic Epic', 'Drama', 'Romance']"
The Life List,"['Feel-Good Romance', 'Romantic Comedy', 'Comedy', 'Drama', 'Romance']"
Rogue One: A Star Wars Story,"['Action Epic', 'Adventure Epic', 'Sci-Fi Epic', 'Space Sci-Fi', 'Tragedy', 'Action', 'Adventure', 'Sci-Fi']"
28 Years Later,"['Zombie Horror', 'Horror', 'Thriller']"
Together,"['Body Horror', 'Psychological Horror', 'Horror', 'Sci-Fi']"
The Shawshank Redemption,"['Epic', 'Period Drama', 'Prison Drama', 'Drama']"
G20,"['Action', 'Thriller']"
Jewel Thief: The Heist Begins,"['Action', 'Adventure', 'Thriller']"
The Order,"['Heist', 'True Crime', 'Crime', 'Drama', 'Thriller']"
Last Breath,"['Sea Adventure', 'Drama', 'Thriller']"
The Electric State,"['Action Epic', 'Adventure Epic', 'Artificial Intelligence', 'Dystopian Sci-Fi', 'Epic', 'Quest', 'Sci-Fi Epic', 'Urban Adventure', 'Action', 'Adventure']"
Lilo & Stitch,"['Alien Invasion', 'Buddy Comedy', 'Sci-Fi Epic', 'Space Sci-Fi', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']"
Now You See Me,"['Caper', 'Heist', 'Crime', 'Mystery', 'Thriller']"
Den of Thieves: Pantera,"['Heist', 'Action', 'Crime', 'Drama', 'Thriller']"
How to Train Your Dragon,"['Sword & Sorcery', 'Teen Adventure', 'Teen Fantasy', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']"
Oppenheimer,"['Docudrama', 'Epic', 'Historical Epic', 'Period Drama', 'Psychological Drama', 'Biography', 'Drama', 'History']"
The Friend,['Drama']
Wicked,"['Fairy Tale', 'Pop Musical', 'Fantasy', 'Musical', 'Romance']"
The King of Kings,"['Computer Animation', 'Animation', 'Family']"
The Brutalist,"['Epic', 'Drama']"
Cleaner,"['One-Person Army Action', 'Action', 'Drama', 'Thriller']"
Interstellar,"['Adventure Epic', 'Epic', 'Quest', 'Sci-Fi Epic', 'Space Sci-Fi', 'Time Travel', 'Adventure', 'Drama', 'Sci-Fi']"
The Godfather,"['Epic', 'Gangster', 'Tragedy', 'Crime', 'Drama']"
Barbarian,"['Psychological Horror', 'Psychological Thriller', 'Suspense Mystery', 'Horror', 'Mystery', 'Thriller']"
Black Widow,"['Spy', 'Superhero', 'Action', 'Adventure', 'Sci-Fi']"
The Penguin Lessons,['Drama']
From the World of John Wick: Ballerina,"['One-Person Army Action', 'Action', 'Thriller']"
Twisters,"['Disaster', 'Action', 'Adventure', 'Thriller']"
The Two Popes,"['Docudrama', 'Biography', 'Comedy', 'Drama']"
Once Upon a Time... in Hollywood,"['Period Drama', 'Showbiz Drama', 'Comedy', 'Drama']"
Top Gun: Maverick,"['Action Epic', 'Epic', 'Action', 'Drama']"
Mufasa: The Lion King,"['Animal Adventure', 'Computer Animation', 'Adventure', 'Animation', 'Drama', 'Family', 'Fantasy', 'Musical']"
Salvable,"['Crime', 'Drama']"
The Legend of Ochi,"['Quest', 'Teen Fantasy', 'Adventure', 'Family', 'Fantasy']"
Kesari Chapter 2: The Untold Story of Jallianwala Bagh,"['Docudrama', 'Legal Drama', 'Period Drama', 'Biography', 'Drama', 'History']"
Tombstone,"['Costume Drama', 'Docudrama', 'Period Drama', 'Western Epic', 'Biography', 'Drama', 'History', 'Western']"
Kraven the Hunter,"['One-Person Army Action', 'Superhero', 'Action', 'Adventure', 'Thriller']"
The Commitments,"['Comedy', 'Drama', 'Music']"
Deadpool & Wolverine,"['Buddy Comedy', 'Dark Comedy', 'Raunchy Comedy', 'Superhero', 'Action', 'Adventure', 'Comedy', 'Sci-Fi']"
The Dark Knight,"['Action Epic', 'Epic', 'Superhero', 'Tragedy', 'Action', 'Crime', 'Drama', 'Thriller']"
Trap,"['Psychological Horror', 'Psychological Thriller', 'Serial Killer', 'Crime', 'Horror', 'Mystery', 'Thriller']"
Inception,"['Action Epic', 'Adventure Epic', 'Epic', 'Psychological Thriller', 'Sci-Fi Epic', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Karate Kid: Legends,"['Coming-of-Age', 'Martial Arts', 'Teen Drama', 'Action', 'Drama', 'Family', 'Sport']"
Deep Cover,"['Comedy', 'Crime']"
A Real Pain,"['Buddy Comedy', 'Comedy', 'Drama']"
Speak No Evil,"['Psychological Drama', 'Psychological Horror', 'Psychological Thriller', 'Drama', 'Horror', 'Thriller']"
Love,"['Steamy Romance', 'Drama', 'Romance']"
Jurassic World Rebirth,"['Dinosaur Adventure', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Star Wars: Episode IV - A New Hope,"['Action Epic', 'Adventure Epic', 'Dystopian Sci-Fi', 'Epic', 'Fantasy Epic', 'Quest', 'Sci-Fi Epic', 'Space Sci-Fi', 'Sword & Sorcery', 'Action']"
Fear Street: Prom Queen,"['Slasher Horror', 'Supernatural Horror', 'Teen Horror', 'Whodunnit', 'Horror', 'Mystery', 'Thriller']"
Den of Thieves,"['Cop Drama', 'Heist', 'Action', 'Crime', 'Drama', 'Thriller']"
