Title,Genres
"Salò, or the 120 Days of Sodom","['Period Drama', 'Teen Drama', 'Tragedy', 'Drama']"
12 Angry Men,"['Legal Drama', 'Psychological Drama', 'Crime', 'Drama']"
Materialists,"['Feel-Good Romance', 'Romantic Comedy', 'Comedy', 'Romance']"
John Wick,"['Gun Fu', 'One-Person Army Action', 'Action', 'Crime', 'Thriller']"
Pitch Perfect,"['Teen Comedy', 'Teen Romance', 'Comedy', 'Music', 'Romance']"
Guardians of the Galaxy Vol. 3,"['Space Sci-Fi', 'Superhero', 'Action', 'Adventure', 'Comedy', 'Sci-Fi']"
Talk to Me,"['Supernatural Horror', 'Teen Horror', 'Horror', 'Thriller']"
The Biggest Fan,['Comedy']
Saving Private Ryan,"['Epic', 'Period Drama', 'War Epic', 'Drama', 'War']"
"Crazy, Stupid, Love.","['Feel-Good Romance', 'Romantic Comedy', 'Comedy', 'Drama', 'Romance']"
Murder at Yellowstone City,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Western']"
Knives Out,"['Cozy Mystery', 'Satire', 'Whodunnit', 'Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller']"
Road House,"['Action Epic', 'Action', 'Drama', 'Thriller']"
Everything Everywhere All at Once,"['Adventure Epic', 'Dark Comedy', 'Martial Arts', 'Sci-Fi Epic', 'Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Sci-Fi']"
Eden,"['Psychological Thriller', 'Thriller']"
MaXXXine,"['Serial Killer', 'Slasher Horror', 'Crime', 'Horror']"
V for Vengeance,"['Action', 'Adventure', 'Horror', 'Thriller']"
The Town,"['Heist', 'Crime', 'Drama', 'Thriller']"
Guardians of the Galaxy,"['Quest', 'Space Sci-Fi', 'Superhero', 'Action', 'Adventure', 'Comedy', 'Sci-Fi']"
Eyes Wide Shut,"['Erotic Thriller', 'Psychological Drama', 'Psychological Thriller', 'Drama', 'Mystery', 'Thriller']"
Fall,"['Survival', 'Action', 'Thriller']"
The Breakfast Club,"['Coming-of-Age', 'Teen Comedy', 'Teen Drama', 'Comedy', 'Drama']"
Tropic Thunder,"['High-Concept Comedy', 'Jungle Adventure', 'Parody', 'Satire', 'Action', 'Comedy', 'War']"
The Green Mile,"['Period Drama', 'Prison Drama', 'Supernatural Fantasy', 'Tragedy', 'Crime', 'Drama', 'Fantasy', 'Mystery']"
Get Out,"['Dark Comedy', 'Psychological Horror', 'Psychological Thriller', 'Suspense Mystery', 'Horror', 'Mystery', 'Thriller']"
Dog Man,"['Animal Adventure', 'Computer Animation', 'Superhero', 'Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Fantasy']"
Green Book,"['Docudrama', 'Period Drama', 'Road Trip', 'Biography', 'Comedy', 'Drama', 'Music']"
It,"['Monster Horror', 'Supernatural Horror', 'Horror']"
The Lord of the Rings: The Return of the King,"['Action Epic', 'Adventure Epic', 'Epic', 'Fantasy Epic', 'Mountain Adventure', 'Quest', 'Sword & Sorcery', 'Tragedy', 'Adventure', 'Drama']"
10 Things I Hate About You,"['Coming-of-Age', 'Feel-Good Romance', 'Romantic Comedy', 'Teen Comedy', 'Teen Drama', 'Teen Romance', 'Comedy', 'Drama', 'Romance']"
Bone Tomahawk,"['Period Drama', 'Drama', 'Horror', 'Western']"
Carry-On,"['Conspiracy Thriller', 'One-Person Army Action', 'Action', 'Crime', 'Holiday', 'Thriller']"
Kingsman: The Secret Service,"['Gun Fu', 'Spy', 'Action', 'Adventure', 'Comedy', 'Thriller']"
The Fall Guy,"['Action', 'Comedy', 'Drama', 'Romance']"
Presence,"['Psychological Drama', 'Psychological Horror', 'Psychological Thriller', 'Drama', 'Horror', 'Thriller']"
Avatar: Fire and Ash,"['Sci-Fi Epic', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']"
Suicide Squad,"['Dark Comedy', 'Superhero', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
John Wick: Chapter 4,"['Action Epic', 'Gun Fu', 'One-Person Army Action', 'Action', 'Crime', 'Thriller']"
Where the Crawdads Sing,"['Coming-of-Age', 'Legal Thriller', 'Suspense Mystery', 'Whodunnit', 'Drama', 'Mystery', 'Romance', 'Thriller']"
How to Train Your Dragon,"['Computer Animation', 'Sword & Sorcery', 'Teen Fantasy', 'Action', 'Adventure', 'Animation', 'Family', 'Fantasy']"
Ed Kemper,"['Biography', 'Crime', 'Drama', 'History', 'Thriller']"
Terminator 2: Judgment Day,"['Action Epic', 'Artificial Intelligence', 'Cyberpunk', 'Dystopian Sci-Fi', 'Sci-Fi Epic', 'Time Travel', 'Action', 'Adventure', 'Sci-Fi']"
Annihilation,"['Alien Invasion', 'Body Horror', 'Psychological Horror', 'Adventure', 'Drama', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']"
Deep Impact,"['Disaster', 'Space Sci-Fi', 'Action', 'Drama', 'Sci-Fi', 'Thriller']"
Saturday Night,"['Docudrama', 'Period Drama', 'Showbiz Drama', 'Biography', 'Comedy', 'Drama', 'History']"
The Usual Suspects,"['Caper', 'Gangster', 'Heist', 'Psychological Drama', 'Psychological Thriller', 'Suspense Mystery', 'Whodunnit', 'Crime', 'Drama', 'Mystery']"
Catch Me If You Can,"['Caper', 'Coming-of-Age', 'Docudrama', 'Globetrotting Adventure', 'Period Drama', 'True Crime', 'Biography', 'Crime', 'Drama']"
Sin City,"['Serial Killer', 'Tragedy', 'Crime', 'Thriller']"
Sicario,"['Contemporary Western', 'Cop Drama', 'Drug Crime', 'Action', 'Crime', 'Drama', 'Mystery', 'Thriller']"
Killers of the Flower Moon,"['Epic', 'Period Drama', 'Tragedy', 'True Crime', 'Western Epic', 'Crime', 'Drama', 'History', 'Mystery', 'Romance']"
Bring Her Back,"['Supernatural Horror', 'Horror', 'Mystery']"
"The Good, the Bad and the Ugly","['Adventure Epic', 'Dark Comedy', 'Desert Adventure', 'Epic', 'Period Drama', 'Quest', 'Spaghetti Western', 'Western Epic', 'Adventure', 'Western']"
Iron Man,"['Sci-Fi Epic', 'Superhero', 'Action', 'Adventure', 'Sci-Fi']"
Thor: Love and Thunder,"['Superhero', 'Action', 'Adventure', 'Comedy', 'Romance', 'Sci-Fi']"
Mad Max: Fury Road,"['Action Epic', 'Adventure Epic', 'Car Action', 'Desert Adventure', 'Dystopian Sci-Fi', 'Epic', 'Quest', 'Road Trip', 'Action', 'Adventure']"
Queer,"['Period Drama', 'Biography', 'Drama', 'History', 'Romance']"
Taxi Driver,"['Psychological Drama', 'Crime', 'Drama']"
Dungeons & Dragons: Honor Among Thieves,"['Quest', 'Sword & Sorcery', 'Action', 'Adventure', 'Comedy', 'Fantasy']"
Hit Man,"['Docudrama', 'Romantic Comedy', 'Comedy', 'Crime', 'Romance']"
Don't Worry Darling,"['Psychological Thriller', 'Drama', 'Mystery', 'Thriller']"
Star Wars: Episode VI - Return of the Jedi,"['Action Epic', 'Adventure Epic', 'Dark Fantasy', 'Dystopian Sci-Fi', 'Epic', 'Fantasy Epic', 'Globetrotting Adventure', 'Quest', 'Sci-Fi Epic', 'Space Sci-Fi']"
Irreversible,"['Psychological Drama', 'Psychological Thriller', 'Tragedy', 'Crime', 'Drama', 'Mystery', 'Thriller']"
Star Wars: Episode VII - The Force Awakens,"['Action Epic', 'Adventure Epic', 'Globetrotting Adventure', 'Quest', 'Sci-Fi Epic', 'Space Sci-Fi', 'Action', 'Adventure', 'Sci-Fi']"
Scorned,"['Erotic Thriller', 'Drama', 'Thriller']"
Terrifier 3,"['Dark Comedy', 'Slasher Horror', 'Splatter Horror', 'Supernatural Horror', 'Teen Horror', 'Holiday', 'Horror']"
Black Panther,"['Superhero', 'Action', 'Adventure', 'Sci-Fi']"
Fast Times at Ridgemont High,"['Teen Comedy', 'Comedy', 'Drama']"
Shutter Island,"['Psychological Thriller', 'Suspense Mystery', 'Drama', 'Mystery', 'Thriller']"
Past Lives,"['Korean Drama', 'Drama', 'Romance']"
The Iron Claw,"['Docudrama', 'Tragedy', 'Biography', 'Drama', 'Sport']"
Abigail,"['Dark Comedy', 'Monster Horror', 'Splatter Horror', 'Vampire Horror', 'Horror', 'Thriller']"
Clueless,"['Coming-of-Age', 'Feel-Good Romance', 'Romantic Comedy', 'Satire', 'Teen Comedy', 'Teen Romance', 'Comedy', 'Romance']"
The Outsiders,"['Coming-of-Age', 'Teen Drama', 'Crime', 'Drama']"
The Man from Earth,"['Supernatural Fantasy', 'Suspense Mystery', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']"
It Feeds,['Horror']
Jaws,"['Monster Horror', 'Sea Adventure', 'Survival', 'Adventure', 'Drama', 'Horror', 'Thriller']"
City of God,"['Caper', 'Coming-of-Age', 'Gangster', 'Crime', 'Drama']"
Spirited Away,"['Anime', 'Coming-of-Age', 'Fairy Tale', 'Hand-Drawn Animation', 'Quest', 'Supernatural Fantasy', 'Adventure', 'Animation', 'Family', 'Fantasy']"
Day of Reckoning,"['Contemporary Western', 'Martial Arts', 'Action', 'Western']"
Watchmen,"['Dystopian Sci-Fi', 'Superhero', 'Action', 'Drama', 'Mystery', 'Sci-Fi']"
Blade Runner,"['Artificial Intelligence', 'Cyber Thriller', 'Cyberpunk', 'Dystopian Sci-Fi', 'Action', 'Drama', 'Sci-Fi', 'Thriller']"
Spider-Man,"['Superhero', 'Urban Adventure', 'Action', 'Adventure', 'Sci-Fi']"
Better Man,"['Docudrama', 'Psychological Drama', 'Biography', 'Fantasy', 'Music', 'Musical']"
Teenage Mutant Ninja Turtles: The Rise of Leo,['Adventure']
The Godfather Part II,"['Epic', 'Gangster', 'Tragedy', 'Crime', 'Drama']"
The Terminator,"['Artificial Intelligence', 'Cyberpunk', 'Dystopian Sci-Fi', 'Time Travel', 'Urban Adventure', 'Action', 'Adventure', 'Sci-Fi']"
Subservience,"['Artificial Intelligence', 'Sci-Fi', 'Thriller']"
Indiana Jones and the Last Crusade,"['Adventure Epic', 'Desert Adventure', 'Globetrotting Adventure', 'Quest', 'Action', 'Adventure']"
There Will Be Blood,"['Epic', 'Period Drama', 'Psychological Drama', 'Tragedy', 'Drama']"
Shadow Force,"['Action', 'Drama', 'Thriller']"
The Help,"['Period Drama', 'Drama']"
Mission: Impossible - Fallout,"['Action Epic', 'Globetrotting Adventure', 'Spy', 'Action', 'Adventure', 'Thriller']"
Her,"['Artificial Intelligence', 'Drama', 'Romance', 'Sci-Fi']"
Memento,"['Psychological Thriller', 'Suspense Mystery', 'Mystery', 'Thriller']"
Ford v Ferrari,"['Docudrama', 'Motorsport', 'Period Drama', 'Action', 'Biography', 'Drama', 'Sport']"
One Battle After Another,"['Dark Comedy', 'Action', 'Crime', 'Drama', 'Thriller']"
Marching Powder,"['Dark Comedy', 'Action', 'Comedy', 'Crime', 'Drama', 'Thriller']"
Harry Potter and the Goblet of Fire,"['Sword & Sorcery', 'Teen Adventure', 'Teen Fantasy', 'Adventure', 'Family', 'Fantasy', 'Mystery']"
Back in Action,"['Spy', 'Action', 'Comedy']"
The Hunger Games: Catching Fire,"['Dystopian Sci-Fi', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Star Wars: Episode IX - The Rise of Skywalker,"['Action Epic', 'Adventure Epic', 'Dark Fantasy', 'Fantasy Epic', 'Sci-Fi Epic', 'Space Sci-Fi', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
Aliens,"['Alien Invasion', 'Cyberpunk', 'Monster Horror', 'Space Sci-Fi', 'Survival', 'Tragedy', 'Action', 'Adventure', 'Horror', 'Sci-Fi']"
Jurassic World Dominion,"['Dinosaur Adventure', 'Globetrotting Adventure', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Havoc,"['Coming-of-Age', 'Crime', 'Drama']"
One of Them Days,"['Buddy Comedy', 'Comedy']"
Y2K,"['Artificial Intelligence', 'Teen Comedy', 'Teen Horror', 'Comedy', 'Horror', 'Sci-Fi']"
Hell or High Water,"['Contemporary Western', 'Heist', 'Police Procedural', 'Tragedy', 'Crime', 'Drama', 'Thriller', 'Western']"
The Northman,"['Action Epic', 'Adventure Epic', 'Historical Epic', 'One-Person Army Action', 'Period Drama', 'Tragedy', 'Action', 'Adventure', 'Drama', 'Fantasy']"
One Flew Over the Cuckoo's Nest,"['Medical Drama', 'Psychological Drama', 'Drama']"
Legend,"['Docudrama', 'Gangster', 'True Crime', 'Biography', 'Crime', 'Drama', 'Thriller']"
Casablanca,"['Psychological Drama', 'Drama', 'Romance', 'War']"
Elevation,"['Alien Invasion', 'Kaiju', 'Survival', 'Action', 'Sci-Fi', 'Thriller']"
Predator,"['Alien Invasion', 'Jungle Adventure', 'Monster Horror', 'One-Person Army Action', 'Slasher Horror', 'Survival', 'Action', 'Adventure', 'Horror', 'Sci-Fi']"
Just Go with It,"['Romantic Comedy', 'Comedy', 'Romance']"
The Thing,"['Alien Invasion', 'Body Horror', 'Monster Horror', 'Supernatural Horror', 'Tragedy', 'Horror', 'Mystery', 'Sci-Fi']"
The Menu,"['Dark Comedy', 'Psychological Horror', 'Satire', 'Comedy', 'Horror', 'Thriller']"
The Shining,"['Psychological Drama', 'Psychological Horror', 'Supernatural Horror', 'Drama', 'Horror']"
Independence Day,"['Action Epic', 'Alien Invasion', 'Disaster', 'Sci-Fi Epic', 'Space Sci-Fi', 'Action', 'Adventure', 'Sci-Fi']"
Superbad,"['Buddy Comedy', 'Dark Comedy', 'Raunchy Comedy', 'Teen Comedy', 'Comedy']"
The Super Mario Bros. Movie,"['Action Epic', 'Adventure Epic', 'Computer Animation', 'Fantasy Epic', 'High-Concept Comedy', 'Quest', 'Slapstick', 'Adventure', 'Animation', 'Comedy']"
Arrival,"['Alien Invasion', 'Psychological Drama', 'Sci-Fi Epic', 'Drama', 'Mystery', 'Sci-Fi']"
I Know What You Did Last Summer,"['Slasher Horror', 'Teen Horror', 'Whodunnit', 'Horror', 'Mystery']"
Final Destination 2,"['Splatter Horror', 'Supernatural Horror', 'Horror', 'Thriller']"
Borderlands,"['Action Epic', 'Adventure Epic', 'Quest', 'Space Sci-Fi', 'Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Thriller']"
Oddity,"['Supernatural Horror', 'Horror', 'Thriller']"
Wolfs,"['Conspiracy Thriller', 'Gangster', 'Crime', 'Thriller']"
There's Something About Mary,"['Romantic Comedy', 'Slapstick', 'Comedy', 'Romance']"
The Beach,"['Adventure', 'Drama', 'Romance', 'Thriller']"
The Equalizer,"['One-Person Army Action', 'Action', 'Crime', 'Thriller']"
Full Metal Jacket,"['Dark Comedy', 'Period Drama', 'Drama', 'War']"
Mission: Impossible - Ghost Protocol,"['Globetrotting Adventure', 'Action', 'Adventure', 'Thriller']"
Mob Land,"['Action', 'Crime', 'Thriller']"
Eddington,"['Contemporary Western', 'Dark Comedy', 'Comedy', 'Drama', 'Western']"
American History X,"['Prison Drama', 'Psychological Drama', 'Tragedy', 'Crime', 'Drama']"
Bonjour Tristesse,"['Drama', 'Romance']"
Beetlejuice Beetlejuice,"['Dark Comedy', 'Dark Fantasy', 'Slapstick', 'Supernatural Fantasy', 'Supernatural Horror', 'Comedy', 'Fantasy', 'Horror']"
The Big Lebowski,"['Buddy Comedy', 'Drug Crime', 'Satire', 'Stoner Comedy', 'Comedy', 'Crime']"
The Big Short,"['Dark Comedy', 'Docudrama', 'Satire', 'Workplace Drama', 'Biography', 'Comedy', 'Drama', 'History', 'Financial Drama']"
Cars,"['Computer Animation', 'Motorsport', 'Adventure', 'Animation', 'Comedy', 'Family', 'Sport']"
The Bikeriders,"['Gangster', 'Period Drama', 'Crime', 'Drama']"
Blue Is the Warmest Colour,"['Coming-of-Age', 'Steamy Romance', 'Drama', 'Romance']"
Eternals,"['Superhero', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
Nymphomaniac: Vol. I,"['Psychological Drama', 'Drama']"
Baby Driver,"['Caper', 'Car Action', 'Heist', 'Action', 'Crime', 'Drama', 'Music']"
The Sixth Sense,"['Psychological Drama', 'Psychological Thriller', 'Suspense Mystery', 'Drama', 'Mystery', 'Thriller']"
Atonement,"['Epic', 'Period Drama', 'Romantic Epic', 'Steamy Romance', 'Tragic Romance', 'War Epic', 'Drama', 'Mystery', 'Romance', 'War']"
The Avengers,"['Action Epic', 'Alien Invasion', 'Superhero', 'Action', 'Sci-Fi']"
Asteroid City,"['Quirky Comedy', 'Showbiz Drama', 'Comedy', 'Drama', 'Romance', 'Sci-Fi']"
Ocean's Eleven,"['Caper', 'Heist', 'Crime', 'Thriller']"
Mulholland Drive,"['Psychological Drama', 'Psychological Thriller', 'Showbiz Drama', 'Suspense Mystery', 'Tragedy', 'Drama', 'Mystery', 'Thriller']"
Troy,"['Epic', 'Sword & Sandal', 'Tragedy', 'Action', 'Adventure', 'Drama']"
American Sniper,"['Docudrama', 'Action', 'Biography', 'Drama', 'War']"
Braveheart,"['Action Epic', 'Costume Drama', 'Epic', 'Period Drama', 'War Epic', 'Biography', 'Drama', 'War']"
Vanilla Sky,"['Psychological Thriller', 'Fantasy', 'Mystery', 'Romance', 'Sci-Fi', 'Thriller']"
The Grand Budapest Hotel,"['Quirky Comedy', 'Comedy', 'Drama']"
Captain America: The First Avenger,"['Sci-Fi Epic', 'Superhero', 'Action', 'Adventure', 'Sci-Fi']"
Challengers,"['Psychological Drama', 'Steamy Romance', 'Comedy', 'Drama', 'Romance', 'Sport']"
Mission: Impossible II,"['Action', 'Adventure', 'Thriller']"
The Lion King,"['Animal Adventure', 'Coming-of-Age', 'Hand-Drawn Animation', 'Jungle Adventure', 'Adventure', 'Animation', 'Drama', 'Family', 'Fantasy', 'Musical']"
Crimes of the Future,"['Body Horror', 'Dystopian Sci-Fi', 'Drama', 'Horror', 'Sci-Fi']"
The Suicide Squad,"['Dark Comedy', 'Gun Fu', 'Superhero', 'Action', 'Adventure', 'Comedy', 'Sci-Fi']"
Babylon,"['Costume Drama', 'Period Drama', 'Showbiz Drama', 'Comedy', 'Drama']"
Paprika,['Drama']
Kill Bill: Vol. 1,"['Kung Fu', 'Martial Arts', 'One-Person Army Action', 'Action', 'Crime', 'Thriller']"
The Hangover,"['Raunchy Comedy', 'Comedy']"
La La Land,"['Pop Musical', 'Showbiz Drama', 'Comedy', 'Drama', 'Music', 'Musical', 'Romance']"
Kindergarten Cop,"['Cop Drama', 'High-Concept Comedy', 'Action', 'Comedy', 'Crime']"
28 Weeks Later,"['Zombie Horror', 'Horror', 'Sci-Fi']"
Operation Fortune: Ruse de Guerre,"['Spy', 'Action', 'Comedy', 'Thriller']"
Dead Poets Society,"['Coming-of-Age', 'Teen Drama', 'Comedy', 'Drama']"
Napoleon Dynamite,"['Buddy Comedy', 'Quirky Comedy', 'Teen Comedy', 'Comedy']"
The Devil's Advocate,"['Legal Thriller', 'Drama', 'Fantasy', 'Mystery', 'Thriller']"
Happy Gilmore,"['High-Concept Comedy', 'Slapstick', 'Comedy', 'Sport']"
Lee,"['Docudrama', 'Epic', 'Historical Epic', 'Period Drama', 'War Epic', 'Biography', 'Drama', 'History', 'War']"
Pearl,"['Coming-of-Age', 'Period Drama', 'Psychological Drama', 'Psychological Horror', 'Psychological Thriller', 'Showbiz Drama', 'Slasher Horror', 'Drama', 'Horror', 'Thriller']"
Airplane!,"['Dark Comedy', 'Farce', 'Parody', 'Satire', 'Slapstick', 'Comedy']"
Homestead,"['Disaster', 'Action', 'Drama', 'Thriller']"
Ready Player One,"['Cyberpunk', 'Dystopian Sci-Fi', 'Quest', 'Teen Adventure', 'Action', 'Adventure', 'Sci-Fi']"
Ready or Not,"['Dark Comedy', 'Splatter Horror', 'Action', 'Comedy', 'Horror', 'Mystery', 'Thriller']"
Malena,"['Coming-of-Age', 'Drama', 'Romance', 'War']"
The Heartbreak Kid,"['Romantic Comedy', 'Comedy', 'Romance']"
Stand by Me,"['Coming-of-Age', 'Dark Comedy', 'Quest', 'Adventure', 'Comedy', 'Drama']"
Reservoir Dogs,"['Gangster', 'Heist', 'Crime', 'Thriller']"
Star Trek: Section 31,"['Space Sci-Fi', 'Action', 'Adventure', 'Drama', 'Sci-Fi']"
Jumanji,"['High-Concept Comedy', 'Jungle Adventure', 'Supernatural Fantasy', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
Saltburn,"['Dark Comedy', 'Psychological Drama', 'Psychological Thriller', 'Drama', 'Thriller']"
Mission: Impossible III,"['Action', 'Adventure', 'Thriller']"
Alita: Battle Angel,"['Cyberpunk', 'Dystopian Sci-Fi', 'Quest', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Culpa Mía,"['Steamy Romance', 'Teen Romance', 'Drama', 'Romance']"
The Room Next Door,"['Psychological Drama', 'Drama']"
Manchester by the Sea,"['Psychological Drama', 'Tragedy', 'Drama']"
Court - State Vs. A Nobody,"['Legal Drama', 'Drama']"
The Equalizer 3,"['One-Person Army Action', 'Action', 'Crime', 'Thriller']"
War of the Worlds,"['Action Epic', 'Adventure Epic', 'Alien Invasion', 'Disaster', 'Sci-Fi Epic', 'Urban Adventure', 'Action', 'Adventure', 'Sci-Fi']"
The Raid: Redemption,"['Gun Fu', 'Martial Arts', 'Action', 'Crime', 'Thriller']"
Almost Famous,"['Coming-of-Age', 'Period Drama', 'Road Trip', 'Showbiz Drama', 'Adventure', 'Comedy', 'Drama', 'Music']"
The Fifth Element,"['Sci-Fi Epic', 'Space Sci-Fi', 'Action', 'Adventure', 'Sci-Fi']"
Transformers,"['Action Epic', 'Alien Invasion', 'Sci-Fi Epic', 'Action', 'Adventure', 'Sci-Fi']"
Black Panther: Wakanda Forever,"['Superhero', 'Action', 'Adventure', 'Drama', 'Sci-Fi']"
Woman of the Hour,"['Period Drama', 'Serial Killer', 'True Crime', 'Crime', 'Drama', 'Mystery']"
Tron: Legacy,"['Artificial Intelligence', 'Cyberpunk', 'Action', 'Adventure', 'Sci-Fi']"
Madame Web,"['Psychological Thriller', 'Superhero', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Totally Killer,"['Slasher Horror', 'Teen Horror', 'Time Travel', 'Comedy', 'Horror', 'Sci-Fi']"
Smile,"['Psychological Horror', 'Supernatural Horror', 'Tragedy', 'Horror', 'Mystery', 'Thriller']"
Harry Potter and the Deathly Hallows: Part 2,"['Dark Fantasy', 'Fantasy Epic', 'Teen Adventure', 'Teen Fantasy', 'Adventure', 'Family', 'Fantasy', 'Mystery']"
Interview with the Vampire,"['Dark Fantasy', 'Psychological Horror', 'Supernatural Fantasy', 'Supernatural Horror', 'Tragedy', 'Vampire Horror', 'Drama', 'Fantasy', 'Horror']"
Final Destination 3,"['Splatter Horror', 'Supernatural Horror', 'Teen Horror', 'Horror', 'Thriller']"
Black Swan,"['Psychological Drama', 'Psychological Thriller', 'Showbiz Drama', 'Drama', 'Thriller']"
Constantine,"['Monster Horror', 'Superhero', 'Supernatural Fantasy', 'Supernatural Horror', 'Action', 'Fantasy', 'Horror', 'Mystery']"
Little Women,"['Coming-of-Age', 'Costume Drama', 'Holiday Romance', 'Period Drama', 'Teen Drama', 'Teen Romance', 'Drama', 'Romance']"
Idiocracy,"['Dark Comedy', 'Dystopian Sci-Fi', 'High-Concept Comedy', 'Satire', 'Adventure', 'Comedy', 'Sci-Fi', 'Thriller']"
Red Eye,"['Psychological Thriller', 'Thriller']"
Megan Is Missing,"['Found Footage Horror', 'Drama', 'Horror', 'Thriller']"
Nobody,"['Dark Comedy', 'One-Person Army Action', 'Action', 'Crime', 'Drama', 'Thriller']"
Joker,"['Psychological Drama', 'Psychological Thriller', 'Tragedy', 'Crime', 'Drama', 'Thriller']"
The Karate Kid,"['Coming-of-Age', 'Martial Arts', 'Teen Drama', 'Action', 'Drama', 'Family', 'Sport']"
Indiana Jones and the Temple of Doom,"['Adventure Epic', 'Globetrotting Adventure', 'Jungle Adventure', 'Action', 'Adventure']"
The Girl Next Door,"['Raunchy Comedy', 'Romantic Comedy', 'Teen Comedy', 'Teen Drama', 'Teen Romance', 'Comedy', 'Drama', 'Romance']"
1917,"['Epic', 'Period Drama', 'War Epic', 'Action', 'Drama', 'War']"
Grown Ups,"['Slapstick', 'Comedy']"
The Voyeurs,"['Erotic Thriller', 'Suspense Mystery', 'Drama', 'Mystery', 'Romance', 'Thriller']"
Death Becomes Her,"['Body Horror', 'Dark Comedy', 'Satire', 'Comedy', 'Fantasy', 'Horror']"
Avatar,"['Action Epic', 'Adventure Epic', 'Fantasy Epic', 'Sci-Fi Epic', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
Legally Blonde,"['Feel-Good Romance', 'High-Concept Comedy', 'Romantic Comedy', 'Satire', 'Comedy', 'Romance']"
EuroTrip,"['Raunchy Comedy', 'Teen Comedy', 'Comedy']"
Fargo,"['Cop Drama', 'Dark Comedy', 'Police Procedural', 'Tragedy', 'Crime', 'Drama', 'Thriller']"
Stargate,"['Desert Adventure', 'Space Sci-Fi', 'Action', 'Adventure', 'Sci-Fi']"
The Mummy,"['Desert Adventure', 'Globetrotting Adventure', 'Quest', 'Supernatural Fantasy', 'Action', 'Adventure', 'Fantasy']"
Dora and the Lost City of Gold,"['Jungle Adventure', 'Teen Adventure', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Mystery']"
Clue,"['Cozy Mystery', 'Farce', 'Parody', 'Slapstick', 'Whodunnit', 'Comedy', 'Crime', 'Mystery', 'Thriller']"
Once Upon a Time in America,"['Dark Comedy', 'Epic', 'Gangster', 'Period Drama', 'Crime', 'Drama']"
The Gift,"['Psychological Thriller', 'Drama', 'Mystery', 'Thriller']"
Rush,"['Docudrama', 'Motorsport', 'Period Drama', 'Biography', 'Drama', 'Sport']"
Avatar: The Way of Water,"['Action Epic', 'Adventure Epic', 'Sci-Fi Epic', 'Sea Adventure', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
The Final Destination,"['Splatter Horror', 'Horror', 'Thriller']"
Rebel Ridge,"['One-Person Army Action', 'Action', 'Crime', 'Drama', 'Thriller']"
Bridget Jones: Mad About the Boy,"['Romantic Comedy', 'Comedy', 'Drama', 'Romance']"
The Comeback Trail,"['Caper', 'Dark Comedy', 'Comedy', 'Crime']"
The Hateful Eight,"['Period Drama', 'Suspense Mystery', 'Whodunnit', 'Crime', 'Drama', 'Mystery', 'Thriller', 'Western']"
2001: A Space Odyssey,"['Adventure Epic', 'Artificial Intelligence', 'Epic', 'Psychological Drama', 'Sci-Fi Epic', 'Space Sci-Fi', 'Adventure', 'Sci-Fi']"
The Covenant,"['Action Epic', 'Action', 'Drama', 'Thriller', 'War']"
True Grit,"['Period Drama', 'Drama', 'Western']"
Memories of Murder,"['Dark Comedy', 'Korean Drama', 'Police Procedural', 'Serial Killer', 'True Crime', 'Crime', 'Drama', 'Mystery', 'Thriller']"
Tenet,"['Time Travel', 'Action', 'Sci-Fi', 'Thriller']"
Indiana Jones and the Dial of Destiny,"['Adventure Epic', 'Globetrotting Adventure', 'Time Travel', 'Action', 'Adventure', 'Sci-Fi']"
Divergent,"['Dystopian Sci-Fi', 'Teen Adventure', 'Action', 'Adventure', 'Drama', 'Mystery', 'Sci-Fi']"
Hallow Road,"['Psychological Drama', 'Psychological Thriller', 'Drama', 'Thriller']"
The Smashing Machine,"['Documentary', 'Sport']"
Fruitvale Station,"['True Crime', 'Biography', 'Crime', 'Drama', 'Romance']"
A Time to Kill,"['Legal Thriller', 'Crime', 'Drama', 'Thriller']"
Prometheus,"['Sci-Fi Epic', 'Adventure', 'Mystery', 'Sci-Fi']"
Casino,"['Docudrama', 'Epic', 'Gangster', 'True Crime', 'Crime', 'Drama']"
Joker: Folie à Deux,"['Jukebox Musical', 'Prison Drama', 'Psychological Drama', 'Psychological Thriller', 'Drama', 'Musical', 'Thriller']"
